#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
297047:5839,06/16/17 20:21:12,15,15,0.002,0.002
297048:5839,06/16/17 20:31:19,15,15,0.002,0.002
297049:5839,06/16/17 20:41:23,15,15,0.002,0.002
297050:5839,06/16/17 20:51:29,11,11,0.002,0.002
297281:5856,06/22/17 00:39:18,17,17,0.005,0.005
297282:5856,06/22/17 00:50:17,16,16,0.005,0.004
297283:5856,06/22/17 01:00:52,15,15,0.005,0.004
297284:5856,06/22/17 01:11:05,16,16,0.005,0.004
297285:5856,06/22/17 01:21:30,20,20,0.004,0.004
297286:5856,06/22/17 01:42:10,9,9,0.003,0.002
297287:5856,06/22/17 01:49:45,16,16,0.005,0.004
297288:5856,06/22/17 02:00:08,15,15,0.004,0.004
297289:5856,06/22/17 02:11:32,15,15,0.004,0.004
297290:5856,06/22/17 02:21:32,15,15,0.004,0.004
297291:5856,06/22/17 02:31:39,17,17,0.005,0.004
297494:5873,06/26/17 00:16:40,21,21,0.006,0.006
297495:5873,06/26/17 00:30:59,16,16,0.005,0.005
297496:5873,06/26/17 00:41:30,23,23,0.007,0.007
297497:5873,06/26/17 00:54:54,16,16,0.005,0.005
297498:5873,06/26/17 01:05:27,15,15,0.005,0.004
297499:5873,06/26/17 01:16:02,16,16,0.005,0.005
297500:5873,06/26/17 01:27:55,1,1,0.000,0.000
297501:5873,06/26/17 01:37:16,17,17,0.005,0.005
297502:5873,06/26/17 01:48:00,16,16,0.005,0.005
297503:5873,06/26/17 02:00:54,4,4,0.001,0.001
297557:5876,06/26/17 23:28:45,38,38,0.013,0.012
297562:5876,06/27/17 06:25:38,50,50,0.011,0.010
297605:5878,06/28/17 00:49:22,33,33,0.006,0.006
297620:5880,06/28/17 10:11:19,283,283,0.086,0.082
297656:5882,06/28/17 17:29:24,392,392,0.124,0.116
297657:5882,06/28/17 20:47:46,20,20,0.006,0.000
297658:5882,06/28/17 21:02:07,19,19,0.005,0.000
297660:5882,06/28/17 21:38:11,213,213,0.046,0.045
297661:5882,06/28/17 23:14:15,117,117,0.022,0.022
297662:5882,06/29/17 00:06:24,16,16,0.004,0.004
297663:5882,06/29/17 00:17:03,16,16,0.004,0.004
297664:5882,06/29/17 00:28:08,19,19,0.004,0.004
297670:5883,06/29/17 06:20:21,16,16,0.005,0.005
297672:5883,06/29/17 06:55:10,14,14,0.004,0.004
297673:5883,06/29/17 07:04:45,15,15,0.005,0.004
297674:5883,06/29/17 07:15:13,2,2,0.001,0.001
297723:5887,06/29/17 23:07:27,37,37,0.011,0.011
298653:5919,07/09/17 18:55:02,23,23,0.000,0.000
298853:5934,07/12/17 05:49:00,8,8,0.000,0.000
298854:5934,07/12/17 06:49:07,65,65,0.000,0.000
298855:5934,07/12/17 07:18:01,97,97,0.000,0.000
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#11,46,1865,1865,0.460,0.422
#Check JSON:
