#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,23,3.697779,187,30.064550,186,29.903777,10,1.607730,1,0.160773,0,0.000000
305746,0.022475,240933,36800,18696,3103.933459,32,5.312680,181,30.049848,180,29.883827,10,1.660213,1,0.166021,0,0.000000
305747,0.023100,63059,8942,4213,2672.417894,3,1.902980,39,24.738737,39,24.738737,3,1.902980,0,0.000000,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,4,2.604251,50,32.553143,49,31.902080,0,0.000000,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,6,3.931784,52,34.075457,51,33.420160,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,4,2.663914,56,37.294795,55,36.628817,2,1.331957,1,0.665978,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,3,1.932616,53,34.142885,53,34.142885,5,3.221027,0,0.000000,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,7,4.524375,54,34.902322,54,34.902322,5,3.231696,0,0.000000,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,2,1.323780,29,19.194811,29,19.194811,1,0.661890,0,0.000000,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,2,1.308858,41,26.831583,41,26.831583,3,1.963287,0,0.000000,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,10,6.506710,43,27.978853,41,26.677511,2,1.301342,2,1.301342,0,0.000000
305756,0.023471,113035,16934,8119,2873.092405,10,3.538727,86,30.433052,85,30.079179,0,0.000000,1,0.353873,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,98,2.282555,1066,24.828605,1055,24.572399,33,0.768615,11,0.256205,2,0.046583
305758,0.002923,626302,11710,5641,360.273478,5,0.319335,46,2.937880,44,2.810146,2,0.127734,2,0.127734,0,0.000000
306029,0.275000,259155,59937,15862,2448.264552,3,0.463043,100,15.434778,99,15.280431,4,0.617391,1,0.154348,0,0.000000
306091,0.381910,1782405,1631630,432138,9697.863280,172,3.859953,2998,67.279883,2978,66.831051,74,1.660678,20,0.448832,3,0.067325
306126,0.041094,1521414,164274,43491,1143.436303,11,0.289205,280,7.361573,278,7.308990,12,0.315496,2,0.052583,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,9,0.550996,262,16.040113,261,15.978891,9,0.550996,1,0.061222,0,0.000000
306425,0.243153,986696,603070,159823,6479.118188,64,2.594517,1138,46.133764,1130,45.809449,41,1.662113,8,0.324315,2,0.081079
306432,0.018331,1416543,71555,19036,537.533982,5,0.141189,107,3.021440,107,3.021440,3,0.084713,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,42,2.437800,688,39.933483,685,39.759354,19,1.102814,3,0.174129,0,0.000000
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,11,38.845237,11,38.845237,1,3.531385,0,0.000000,0,0.000000
