#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,23,3.697779,231,37.138562,220,35.370059,14,2.250822,11,1.768503,2,0.321546
305746,0.022475,240933,36800,18696,3103.933459,32,5.312680,183,30.381890,173,28.721678,10,1.660213,10,1.660213,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,3,1.902980,45,28.544696,44,27.910370,2,1.268653,1,0.634327,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,4,2.604251,46,29.948892,46,29.948892,1,0.651063,0,0.000000,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,6,3.931784,53,34.730755,51,33.420160,0,0.000000,2,1.310595,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,4,2.663914,44,29.303054,44,29.303054,3,1.997935,0,0.000000,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,3,1.932616,39,25.124010,37,23.835599,4,2.576821,2,1.288411,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,7,4.524375,52,33.609643,51,32.963304,7,4.524375,1,0.646339,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,2,1.323780,45,29.785051,44,29.123161,2,1.323780,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,2,1.308858,49,32.067014,49,32.067014,4,2.617715,0,0.000000,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,10,6.506710,55,35.786905,52,33.834892,2,1.301342,3,1.952013,0,0.000000
305756,0.023471,113035,16934,8119,2873.092405,10,3.538727,120,42.464723,114,40.341487,2,0.707745,6,2.123236,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,98,2.282555,1138,26.505584,1096,25.527346,38,0.885072,42,0.978238,2,0.046583
305758,0.002923,626302,11710,5641,360.273478,5,0.319335,63,4.023618,61,3.895884,2,0.127734,2,0.127734,0,0.000000
306029,0.275000,259155,59937,15862,2448.264552,3,0.463043,89,13.736953,87,13.428257,9,1.389130,2,0.308696,1,0.154348
306091,0.381910,1782405,1631630,432138,9697.863280,172,3.859953,1961,44.007956,1893,42.481928,121,2.715432,68,1.526028,8,0.179533
306126,0.041094,1521414,164274,43491,1143.436303,11,0.289205,213,5.600054,208,5.468597,15,0.394370,5,0.131457,0,0.000000
306139,0.085532,653362,143610,37964,2324.224549,9,0.550996,168,10.285263,164,10.040376,17,1.040771,4,0.244887,0,0.000000
306425,0.243153,986696,603070,159823,6479.118188,64,2.594517,689,27.931602,660,26.755961,52,2.108045,29,1.175641,1,0.040539
306432,0.018331,1416543,71555,19036,537.533982,5,0.141189,64,1.807217,64,1.807217,2,0.056476,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,42,2.437800,506,29.369684,489,28.382955,32,1.857371,17,0.986729,2,0.116086
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,5,17.656926,5,17.656926,0,0.000000,0,0.000000,0,0.000000
