#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,107,17.202711,319,51.286586,313,50.321948,19,3.054687,6,0.964638,1,0.160773
305746,0.022475,240933,36800,18696,3103.933459,104,17.266211,337,55.949164,330,54.787015,16,2.656340,7,1.162149,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,16,10.149225,73,46.305841,70,44.402861,3,1.902980,3,1.902980,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,14,9.114880,83,54.038217,82,53.387155,0,0.000000,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,21,13.761242,79,51.768483,78,51.113186,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,13,8.657720,88,58.606107,86,57.274150,2,1.331957,2,1.331957,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,21,13.528313,93,59.911100,92,59.266894,6,3.865232,1,0.644205,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,20,12.926786,86,55.585179,85,54.938840,6,3.878036,1,0.646339,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,17,11.252130,67,44.346632,66,43.684742,1,0.661890,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,12,7.853146,79,51.699879,76,49.736592,6,3.926573,3,1.963287,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,33,21.472143,91,59.211061,84,54.656364,6,3.904026,7,4.554697,0,0.000000
305756,0.023471,113035,16934,8119,2873.092405,37,13.093290,165,58.388995,159,56.265758,1,0.353873,6,2.123236,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,446,10.387953,1929,44.929060,1878,43.741200,58,1.350900,51,1.187860,3,0.069874
305758,0.002923,626302,11710,5641,360.273478,22,1.405073,77,4.917755,75,4.790021,3,0.191601,2,0.127734,0,0.000000
306029,0.275000,259155,59937,15862,2448.264552,12,1.852173,192,29.634775,190,29.326079,8,1.234782,2,0.308696,1,0.154348
306091,0.381910,1782405,1631630,432138,9697.863280,629,14.115759,5425,121.745619,5359,120.264474,133,2.984731,66,1.481145,7,0.157091
306126,0.041094,1521414,164274,43491,1143.436303,57,1.498606,510,13.408579,506,13.303414,18,0.473244,4,0.105165,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,43,2.632538,474,29.019135,470,28.774248,16,0.979549,4,0.244887,0,0.000000
306425,0.243153,986696,603070,159823,6479.118188,229,9.283508,2014,81.646221,1991,80.713817,56,2.270203,23,0.932405,2,0.081079
306432,0.018331,1416543,71555,19036,537.533982,24,0.677706,205,5.788741,203,5.732265,4,0.112951,2,0.056476,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,147,8.532299,1279,74.236809,1266,73.482252,37,2.147586,13,0.754557,2,0.116086
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,17,60.033548,17,60.033548,1,3.531385,0,0.000000,0,0.000000
