#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,3090,496.788559,2572,413.508147,1957,314.632754,1100,176.850296,615,98.875393,166,26.688317
305746,0.022475,240933,36800,18696,3103.933459,3040,504.704627,2537,421.195934,1901,315.606413,966,160.376536,636,105.589521,105,17.432232
305747,0.023100,63059,8942,4213,2672.417894,737,467.498692,570,361.566152,438,277.835043,253,160.484626,132,83.731109,31,19.664124
305748,0.022500,61438,9403,4701,3060.646505,745,485.041831,597,388.684527,446,290.374036,205,133.467886,151,98.310492,13,8.463817
305749,0.022200,61041,9401,4887,3202.437706,722,473.124621,608,398.420734,454,297.504956,200,131.059452,154,100.915778,12,7.863567
305750,0.024111,60062,8500,4187,2788.451933,740,492.824082,619,412.240685,458,305.018148,264,175.818321,161,107.222537,41,27.305118
305751,0.022300,62092,8547,4086,2632.223153,752,484.442440,633,407.782001,475,305.997552,257,165.560781,158,101.784449,47,30.277653
305752,0.022200,61887,8752,4382,2832.258794,747,482.815454,669,432.400989,492,317.998934,274,177.096967,177,114.402055,41,26.499911
305753,0.021500,60433,8232,3961,2621.746397,715,473.251369,556,368.010855,400,264.756011,213,140.982576,156,103.254844,39,25.813711
305754,0.021600,61122,8461,4206,2752.527731,686,448.938189,584,382.186447,451,295.147410,255,166.879356,133,87.039037,27,17.669579
305755,0.021700,61475,8635,4263,2773.810492,706,459.373729,562,365.677105,420,273.281822,227,147.702318,142,92.395283,33,21.472143
305756,0.023471,113035,16934,8119,2873.092405,1317,466.050338,1087,384.659619,820,290.175609,283,100.145972,267,94.484009,24,8.492945
305757,0.021842,1717374,214242,102433,2385.805305,16986,395.627277,14113,328.711160,10668,248.472377,4248,98.941756,3445,80.238783,435,10.131748
305758,0.002923,626302,11710,5641,360.273478,773,49.369154,606,38.703373,444,28.356927,256,16.349940,162,10.346446,33,2.107609
306029,0.275000,259155,59937,15862,2448.264552,865,133.510833,1300,200.652119,1119,172.715170,371,57.263028,181,27.936949,40,6.173911
306091,0.381910,1782405,1631630,432138,9697.863280,24209,543.288422,34761,780.092067,30011,673.494520,9895,222.059521,4750,106.597547,1110,24.910164
306126,0.041094,1521414,164274,43491,1143.436303,2488,65.412833,3419,89.890063,2879,75.692744,959,25.213387,540,14.197319,106,2.786881
306139,0.085532,653362,143610,37964,2324.224549,2124,130.035111,3027,185.318399,2547,155.931934,836,51.181428,480,29.386466,129,7.897613
306425,0.243153,986696,603070,159823,6479.118188,9088,368.421479,12786,518.335941,10779,436.973495,3422,138.725605,2007,81.362446,528,21.404769
306432,0.018331,1416543,71555,19036,537.533982,964,27.221200,1386,39.137534,1170,33.038178,400,11.295104,216,6.099356,54,1.524839
306458,0.232209,689146,415471,109854,6376.239578,6403,371.648388,8769,508.977778,7333,425.628241,2368,137.445476,1436,83.349537,355,20.605213
306459,0.219250,11327,6253,1644,5805.597246,92,324.887437,112,395.515141,97,342.544363,32,113.004326,15,52.970778,4,14.125541
