#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,32,5.144736,205,32.958464,204,32.797691,108,17.363484,1,0.160773,0,0.000000
305746,0.022475,240933,36800,18696,3103.933459,40,6.640850,210,34.864464,208,34.532422,106,17.598253,2,0.332043,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,5,3.171633,40,25.373063,40,25.373063,20,12.686532,0,0.000000,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,5,3.255314,52,33.855269,51,33.204206,26,16.927634,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,7,4.587081,56,36.696647,55,36.041349,23,15.071837,1,0.655297,1,0.655297
305750,0.024111,60062,8500,4187,2788.451933,5,3.329892,64,42.622623,63,41.956645,34,22.643269,1,0.665978,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,5,3.221027,59,38.008117,59,38.008117,36,23.191393,0,0.000000,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,8,5.170714,58,37.487679,58,37.487679,29,18.743840,0,0.000000,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,5,3.309450,34,22.504261,34,22.504261,22,14.561581,0,0.000000,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,3,1.963287,49,32.067014,48,31.412585,21,13.743006,1,0.654429,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,11,7.157381,51,33.184221,49,31.882879,30,19.520130,2,1.301342,0,0.000000
305756,0.023471,113035,16934,8119,2873.092405,14,4.954218,101,35.741142,99,35.033397,34,12.031672,2,0.707745,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,144,3.353958,1199,27.926357,1183,27.553695,455,10.597575,16,0.372662,2,0.046583
305758,0.002923,626302,11710,5641,360.273478,6,0.383202,50,3.193348,48,3.065614,22,1.405073,2,0.127734,1,0.063867
306029,0.275000,259155,59937,15862,2448.264552,4,0.617391,117,18.058691,116,17.904343,50,7.717389,1,0.154348,0,0.000000
306091,0.381910,1782405,1631630,432138,9697.863280,229,5.139124,3388,76.032103,3365,75.515946,1111,24.932605,23,0.516157,7,0.157091
306126,0.041094,1521414,164274,43491,1143.436303,19,0.499535,314,8.255478,312,8.202895,115,3.023503,2,0.052583,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,12,0.734662,303,18.550206,301,18.427763,107,6.550733,2,0.122444,0,0.000000
306425,0.243153,986696,603070,159823,6479.118188,78,3.162068,1288,52.214664,1279,51.849810,380,15.404947,9,0.364854,4,0.162157
306432,0.018331,1416543,71555,19036,537.533982,6,0.169427,122,3.445007,122,3.445007,41,1.157748,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,57,3.308443,791,45.911897,787,45.679725,256,14.858970,4,0.232171,1,0.058043
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,13,45.908007,13,45.908007,4,14.125541,0,0.000000,0,0.000000
