#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,MB1_LQ,isolatedMB1_LQ,isolatedMB1_LQ_withHOTP_SOI,MB1_HQ,isolatedMB1_HQ,isolatedMB1_HQ_withHOTP_SOI
297047,0.000133,94339,169328,42945,34368,30937,2451,19520,14309,1779
297048,0.000133,95186,169368,42645,34350,30942,2343,19765,14426,1625
297049,0.000133,97896,170911,43421,34759,31241,2372,20034,14787,1803
297050,0.000182,72702,124860,31644,25255,22674,1725,14624,10793,1292
297281,0.000294,109872,263203,66110,44482,39974,3106,25170,18484,2332
297282,0.000250,96621,229880,57763,38877,34910,2742,21772,15897,1929
297283,0.000267,94768,222625,56493,37467,33548,2517,21501,15742,1896
297284,0.000250,98380,227785,57447,38283,34232,2645,21494,15681,1871
297285,0.000200,127208,208436,52877,35059,31515,2470,19789,14472,1842
297286,0.000222,54003,120672,30606,20283,18312,1440,11500,8350,978
297287,0.000250,96023,212202,53822,35800,32256,2427,20056,14671,1832
297288,0.000267,93899,204495,51844,34315,30889,2410,19515,14355,1800
297289,0.000267,93859,201332,50576,34006,30575,2311,19344,14315,1717
297290,0.000267,92673,195804,50180,33203,29809,2394,18640,13788,1785
297291,0.000235,106074,222231,56499,37218,33613,2595,21175,15438,1896
297494,0.000286,228287,380048,95696,61645,55520,4276,34871,25466,3132
297495,0.000312,105503,240422,60571,38450,34662,2646,21898,16159,1986
297496,0.000304,148333,336047,84873,54004,48656,3819,30413,22279,2774
297497,0.000312,100818,224249,57061,36051,32450,2515,20385,14982,1932
297498,0.000267,100514,220211,55214,34940,31407,2455,20117,14719,1778
297499,0.000312,103056,222046,56286,35789,32238,2471,20100,14745,1804
297501,0.000294,110968,230081,58029,36799,33255,2679,21090,15490,1922
297502,0.000312,108440,225279,56842,36465,32785,2526,20658,15228,1893
297503,0.000250,27153,55948,14209,8852,7964,620,4969,3673,499
297557,0.000316,259838,595260,149442,96150,86647,6644,54513,39810,4912
297562,0.000200,345416,499426,126329,79524,72261,5502,45634,33767,4086
297605,0.000182,226704,281422,70716,45423,41371,3018,25627,18988,2351
297620,0.000290,1893027,3877052,978179,614612,553884,42258,351504,258409,31873
297656,0.000296,1111114,2443405,616316,387724,348510,26697,220890,161923,19983
