#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,279,39.432260,243,34.344227,2,0.282669,36,5.088034,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,268,37.540535,222,31.097010,3,0.420230,46,6.443525,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,273,37.182316,217,29.555174,2,0.272398,56,7.627142,1,0.136199
297050,0.000182,72702,2494,10617,5841.379880,181,33.194869,144,26.409177,2,0.366794,37,6.785691,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,336,40.774720,280,33.978933,3,0.364060,56,6.795787,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,285,39.328924,222,30.635162,2,0.275992,63,8.693762,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,283,39.816534,230,32.359728,0,0.000000,53,7.456807,1,0.140694
297284,0.000250,98380,4527,19362,7872.331775,285,38.625737,235,31.849292,3,0.406587,50,6.776445,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,290,30.396411,237,24.841205,4,0.419261,53,5.555206,2,0.209630
297286,0.000222,54003,2486,10480,7762.531711,160,39.503978,128,31.603183,3,0.740700,32,7.900796,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,262,36.380173,214,29.715103,3,0.416567,48,6.665070,0,0.000000
297288,0.000267,93899,4067,17605,7499.547386,266,37.771080,213,30.245264,1,0.141997,53,7.525817,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,276,39.207748,231,32.815180,2,0.284114,45,6.392568,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,250,35.968765,209,30.069887,3,0.431625,41,5.898877,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,305,38.338016,252,31.676000,1,0.125698,53,6.662016,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,507,29.611848,410,23.946465,6,0.350436,97,5.665383,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,300,37.913614,245,30.962785,6,0.758272,55,6.950829,0,0.000000
297496,0.000304,148333,6806,28827,7773.590502,425,38.202333,364,32.719175,5,0.449439,61,5.483158,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,271,35.840161,221,29.227585,2,0.264503,50,6.612576,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,286,37.938330,231,30.642498,4,0.530606,55,7.295833,5,0.663258
297499,0.000312,103056,4472,19205,7454.199658,301,38.943228,252,32.603633,3,0.388138,49,6.339595,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,294,35.325499,241,28.957297,2,0.240310,53,6.368202,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,260,31.968523,214,26.312554,3,0.368868,46,5.655970,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,65,31.917897,53,26.025362,1,0.491045,12,5.892535,1,0.491045
297557,0.000316,259838,11993,51015,7853.354783,761,39.049972,628,32.225207,4,0.205256,133,6.824765,0,0.000000
297562,0.000200,345416,10022,43242,5007.527156,630,24.318503,520,20.072415,7,0.270206,110,4.246088,2,0.077202
297605,0.000182,21232,546,2292,4318.010550,35,21.979402,28,17.583522,0,0.000000,7,4.395880,1,0.627983
