#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,2095,296.095288,1423,201.118661,15,2.120014,672,94.976627,9,1.272008
297048,0.000133,95186,3319,14180,5958.859496,2091,292.900216,1450,203.111102,13,1.820996,641,89.789115,8,1.120613
297049,0.000133,97896,3562,14546,5943.450192,2189,298.139522,1509,205.524230,23,3.132576,680,92.615292,7,0.953393
297050,0.000182,72702,2494,10617,5841.379880,1585,290.684346,1064,195.134476,19,3.484544,521,95.549870,8,1.467177
297281,0.000294,109872,5354,22316,8124.362895,2659,322.678511,1837,222.926072,29,3.519247,822,99.752439,11,1.334887
297282,0.000250,96621,4679,19688,8150.609081,2237,308.697557,1516,209.202278,13,1.793951,721,99.495279,6,0.827977
297283,0.000267,94768,4581,19270,8133.547189,2282,321.064776,1559,219.342675,20,2.813889,723,101.722100,5,0.703472
297284,0.000250,98380,4527,19362,7872.331775,2376,322.016670,1614,218.743647,16,2.168462,762,103.273023,22,2.981636
297285,0.000200,127208,4256,17930,5638.010188,2172,227.658638,1510,158.270968,15,1.572228,662,69.387670,9,0.943337
297286,0.000222,54003,2486,10480,7762.531711,1192,294.304637,835,206.161386,13,3.209698,357,88.143251,3,0.740700
297287,0.000250,96023,4313,18246,7600.679004,2191,304.232666,1554,215.781636,25,3.471391,637,88.451031,11,1.527412
297288,0.000267,93899,4067,17605,7499.547386,1987,282.147130,1394,197.943180,17,2.413941,593,84.203950,5,0.709983
297289,0.000267,93859,4158,17132,7301.164513,2073,294.484280,1428,202.857478,15,2.130856,645,91.626802,10,1.420571
297290,0.000267,92673,4026,17118,7388.559775,2059,296.238746,1419,204.158709,23,3.309126,640,92.080038,8,1.151000
297291,0.000235,106074,4568,19164,7226.653091,2263,284.455506,1573,197.723602,20,2.513968,690,86.731904,7,0.879889
297494,0.000286,228287,7641,32381,5673.735254,3711,216.744712,2593,151.446790,36,2.102616,1118,65.297922,12,0.700872
297495,0.000312,105503,4921,20727,7858.354739,2263,285.995027,1637,206.881953,15,1.895681,626,79.113074,12,1.516545
297496,0.000304,148333,6806,28827,7773.590502,3233,290.607395,2258,202.966748,20,1.797757,975,87.640646,14,1.258430
297497,0.000312,100818,4556,19438,7712.114900,2296,303.649481,1603,211.999180,15,1.983773,693,91.650301,13,1.719270
297498,0.000267,100514,4385,19102,7601.727123,2133,282.945659,1514,200.834378,23,3.050985,619,82.111281,7,0.928561
297499,0.000312,103056,4472,19205,7454.199658,2189,283.211717,1550,200.538219,21,2.716969,639,82.673498,13,1.681933
297501,0.000294,110968,4576,19854,7156.657775,2230,267.945113,1589,190.925913,19,2.282940,641,77.019201,8,0.961238
297502,0.000312,108440,4474,19290,7115.455551,2214,272.224271,1508,185.417435,12,1.475470,706,86.806836,8,0.983647
297503,0.000250,27153,1131,4946,7286.119397,549,269.583471,407,199.855142,10,4.910446,142,69.728330,5,2.455223
297557,0.000316,259838,11993,51015,7853.354783,5942,304.907930,4118,211.311150,44,2.257817,1824,93.596780,26,1.334165
297562,0.000200,345416,10022,43242,5007.527156,4825,186.248852,3412,131.705924,43,1.659834,1413,54.542928,16,0.617613
297605,0.000182,21232,546,2292,4318.010550,272,170.811354,191,119.944738,4,2.511932,81,50.866616,0,0.000000
