#runNumber,lumi per LS (/fb),nEvent,HOTP,HOTP_SOI,rate_HOTP_SOI [kHz],MB1_LQ,rate_MB1_LQ [kHz],isolatedMB1_LQ,rate_isolatedMB1_LQ [kHz],isolatedMB1_LQ_withHOTP_SOI,rate_isolatedMB1_LQ_withHOTP_SOI [kHz],unisolatedMB1_LQ,rate_unisolatedMB1_LQ [kHz],unisolatedMB1_LQ_withHOTP_SOI,rate_unisolatedMB1_LQ_withHOTP_SOI [kHz],MB1_HQ,rate_MB1_HQ [kHz],isolatedMB1_HQ,rate_isolatedMB1_HQ [kHz],isolatedMB1_HQ_withHOTP_SOI,rate_isolatedMB1_HQ_withHOTP_SOI [kHz],unisolatedMB1_HQ,rate_unisolatedMB1_HQ [kHz],unisolatedMB1_HQ_withHOTP_SOI,rate_unisolatedMB1_HQ_withHOTP_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,4434,626.676136,4609,651.409633,363,51.304339,1041,147.128971,141,19.928132,8059,1139.012851,2747,388.245229,342,48.336319,2124,300.193981,290,40.986937
297048,0.000133,95186,169368,42645,17920.702624,4411,617.877979,4537,635.527634,309,43.283676,1040,145.679687,127,17.789731,8115,1136.721787,2744,384.370251,318,44.544366,2071,290.098684,286,40.061914
297049,0.000133,97896,170911,43421,17741.685054,4395,598.594427,4588,624.880826,354,48.214432,1073,146.141483,122,16.616273,8226,1120.372640,2854,388.711830,333,45.354253,2005,273.078914,266,36.228923
297050,0.000182,72702,124860,31644,17410.250062,3347,613.829973,3234,593.106104,233,42.731516,880,161.389416,109,19.990280,5946,1090.478941,2032,372.662834,248,45.482472,1489,273.078228,203,37.229604
297281,0.000294,109872,263203,66110,24068.006407,5649,685.524975,5995,727.513228,471,57.157420,1399,169.773312,214,25.969613,10277,1247.148197,3434,416.727343,462,56.065240,2561,310.785884,404,49.026746
297282,0.000250,96621,229880,57763,23913.227973,4784,660.173944,5087,701.986801,356,49.126656,1204,166.147456,152,20.975426,8841,1220.024632,2984,411.780738,357,49.264653,2292,316.287350,324,44.710777
297283,0.000267,94768,222625,56493,23844.757724,4735,666.188305,4899,689.262198,360,50.650008,1232,173.335584,177,24.902921,8830,1242.332151,2940,413.641736,343,48.258202,2223,312.763802,289,40.660701
297284,0.000250,98380,227785,57447,23357.186420,4905,664.769262,5157,698.922545,378,51.229925,1232,166.971607,198,26.834723,8933,1210.679677,2975,403.198482,345,46.757471,2339,317.002101,356,48.248289
297285,0.000200,127208,208436,52877,16626.941702,4444,465.798797,4737,496.509653,359,37.628661,1068,111.942645,158,16.560803,8195,858.960652,2775,290.862210,371,38.886443,2061,216.024149,291,30.501226
297286,0.000222,54003,120672,30606,22669.851675,2503,617.990359,2699,666.382732,202,49.873772,541,133.572826,70,17.282990,4764,1176.230950,1598,394.545982,196,48.392373,1191,294.057738,170,41.972977
297287,0.000250,96023,212202,53822,22420.461764,4581,636.097602,4867,675.810309,377,52.348569,1104,153.296606,147,20.411776,8252,1145.836588,2802,389.073451,351,48.738323,2061,286.181436,282,39.157285
