#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1105,468.523092,48,20.352134,367,155.609027,363,153.913016,8,3.392022,4,1.696011,0,0.000000
297048,0.000133,95186,4681,1158,486.626185,53,22.272183,389,163.469418,386,162.208728,15,6.303448,3,1.260690,0,0.000000
297049,0.000133,97896,4752,1221,498.896788,58,23.698619,394,160.987170,385,157.309798,15,6.128953,9,3.677372,0,0.000000
297050,0.000182,72702,3402,918,505.075514,50,27.509560,297,163.406784,292,160.655828,9,4.951721,5,2.750956,1,0.550191
297281,0.000294,109872,6975,1730,629.823795,94,34.221640,484,176.205039,470,171.108199,12,4.368720,14,5.096840,0,0.000000
297282,0.000250,96621,6003,1460,604.423469,78,32.291117,427,176.773165,413,170.977324,24,9.935728,14,5.795841,0,0.000000
297283,0.000267,94768,5892,1504,634.813439,75,31.656255,435,183.606281,415,175.164613,11,4.642917,20,8.441668,0,0.000000
297284,0.000250,98380,5962,1462,594.429762,67,27.241309,421,171.173003,412,167.513722,9,3.659280,9,3.659280,0,0.000000
297285,0.000200,127208,5393,1362,428.274951,63,19.810075,433,136.154959,421,132.381611,18,5.660021,12,3.773348,0,0.000000
297286,0.000222,54003,3134,741,548.858397,34,25.183786,223,165.176009,218,161.472511,6,4.444198,5,3.703498,0,0.000000
297287,0.000250,96023,5584,1367,569.446903,62,25.827146,366,152.463472,359,149.547504,15,6.248503,7,2.915968,0,0.000000
297288,0.000267,93899,5412,1355,577.215945,68,28.967295,406,172.951789,393,167.413923,18,7.667813,13,5.537865,0,0.000000
297289,0.000267,93859,5306,1332,567.660001,49,20.882387,392,167.059099,386,164.502072,12,5.114054,6,2.557027,0,0.000000
297290,0.000267,92673,5309,1369,590.894867,45,19.423133,365,157.543189,357,154.090188,19,8.200878,8,3.453001,0,0.000000
297291,0.000235,106074,5848,1506,567.905425,66,24.888286,427,161.019666,415,156.494523,20,7.541905,12,4.525143,0,0.000000
297494,0.000286,228287,9943,2439,427.356792,97,16.996150,716,125.456114,697,122.126972,15,2.628271,19,3.329143,0,0.000000
297495,0.000312,105503,6318,1581,599.414235,67,25.402121,426,161.511995,413,156.583225,16,6.066178,13,4.928770,1,0.379136
297496,0.000304,148333,8843,2200,593.259760,89,24.000054,650,175.281293,636,171.506003,21,5.662934,14,3.775289,0,0.000000
297497,0.000312,100818,5965,1553,616.159813,57,22.615009,388,153.940765,378,149.973219,20,7.935091,10,3.967545,0,0.000000
297498,0.000267,100514,5804,1434,570.666773,80,31.836361,422,167.936805,409,162.763396,22,8.754999,13,5.173409,0,0.000000
297499,0.000312,103056,5776,1452,563.577084,70,27.169694,411,159.524918,399,154.867257,12,4.657662,12,4.657662,0,0.000000
297501,0.000294,110968,5959,1537,554.033595,69,24.872035,412,148.511283,399,143.825247,19,6.848821,13,4.686036,0,0.000000
297502,0.000312,108440,5794,1399,516.045740,75,27.665068,372,137.218738,354,130.579122,13,4.795278,18,6.639616,0,0.000000
297503,0.000250,27153,1493,358,527.381873,11,16.204471,94,138.474570,90,132.582035,8,11.785070,4,5.892535,0,0.000000
297557,0.000316,259838,15691,3937,606.069936,168,25.862268,1105,170.105989,1078,165.949553,26,4.002494,27,4.156436,0,0.000000
297562,0.000200,310423,11810,2982,384.249878,139,17.911044,856,110.301105,831,107.079694,20,2.577129,25,3.221411,0,0.000000
