#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1105,468.523092,4,1.696011,124,52.576347,124,52.576347,0,0.000000,0,0.000000,0,0.000000
297048,0.000133,95186,4681,1158,486.626185,7,2.941609,139,58.411951,139,58.411951,1,0.420230,0,0.000000,0,0.000000
297049,0.000133,97896,4752,1221,498.896788,6,2.451581,144,58.837950,143,58.429354,7,2.860178,1,0.408597,0,0.000000
297050,0.000182,72702,3402,918,505.075514,2,1.100382,96,52.818354,96,52.818354,0,0.000000,0,0.000000,0,0.000000
297281,0.000294,109872,6975,1730,629.823795,9,3.276540,165,60.069900,164,59.705840,4,1.456240,1,0.364060,0,0.000000
297282,0.000250,96621,6003,1460,604.423469,11,4.553875,135,55.888471,135,55.888471,3,1.241966,0,0.000000,0,0.000000
297283,0.000267,94768,5892,1504,634.813439,6,2.532500,157,66.267094,154,65.000844,8,3.376667,3,1.266250,0,0.000000
297284,0.000250,98380,5962,1462,594.429762,9,3.659280,171,69.526326,170,69.119740,2,0.813173,1,0.406587,0,0.000000
297285,0.000200,127208,5393,1362,428.274951,9,2.830011,135,42.450160,134,42.135715,3,0.943337,1,0.314446,0,0.000000
297286,0.000222,54003,3134,741,548.858397,4,2.962798,73,54.071070,73,54.071070,1,0.740700,0,0.000000,0,0.000000
297287,0.000250,96023,5584,1367,569.446903,5,2.082834,153,63.734730,153,63.734730,3,1.249701,0,0.000000,0,0.000000
297288,0.000267,93899,5412,1355,577.215945,3,1.277969,130,55.378652,130,55.378652,0,0.000000,0,0.000000,0,0.000000
297289,0.000267,93859,5306,1332,567.660001,7,2.983198,132,56.254595,132,56.254595,2,0.852342,0,0.000000,0,0.000000
297290,0.000267,92673,5309,1369,590.894867,2,0.863250,128,55.248023,128,55.248023,3,1.294876,0,0.000000,0,0.000000
297291,0.000235,106074,5848,1506,567.905425,3,1.131286,156,58.826857,156,58.826857,2,0.754190,0,0.000000,0,0.000000
297494,0.000286,228287,9943,2439,427.356792,9,1.576962,231,40.475367,231,40.475367,4,0.700872,0,0.000000,0,0.000000
297495,0.000312,105503,6318,1581,599.414235,6,2.274817,133,50.425106,133,50.425106,3,1.137408,0,0.000000,0,0.000000
297496,0.000304,148333,8843,2200,593.259760,6,1.617981,197,53.123715,196,52.854051,3,0.808991,1,0.269664,0,0.000000
297497,0.000312,100818,5965,1553,616.159813,4,1.587018,152,60.306691,150,59.513182,4,1.587018,2,0.793509,0,0.000000
297498,0.000267,100514,5804,1434,570.666773,8,3.183636,143,56.907495,142,56.509541,3,1.193864,1,0.397955,0,0.000000
297499,0.000312,103056,5776,1452,563.577084,5,1.940692,125,48.517311,124,48.129172,1,0.388138,1,0.388138,0,0.000000
297501,0.000294,110968,5959,1537,554.033595,12,4.325571,142,51.185927,142,51.185927,5,1.802321,0,0.000000,0,0.000000
297502,0.000312,108440,5794,1399,516.045740,10,3.688676,143,52.748063,143,52.748063,1,0.368868,0,0.000000,0,0.000000
297503,0.000250,27153,1493,358,527.381873,1,1.473134,30,44.194012,30,44.194012,1,1.473134,0,0.000000,0,0.000000
297557,0.000316,259838,15691,3937,606.069936,18,2.770957,374,57.574335,373,57.420393,8,1.231537,1,0.153942,0,0.000000
297562,0.000200,310423,11810,2982,384.249878,13,1.675134,256,32.987246,256,32.987246,9,1.159708,0,0.000000,0,0.000000
