#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1105,468.523092,4,1.696011,154,21.765477,154,21.765477,5,0.706671,0,0.000000,0,0.000000
297048,0.000133,95186,4681,1158,486.626185,7,2.941609,120,16.809195,119,16.669118,6,0.840460,1,0.140077,0,0.000000
297049,0.000133,97896,4752,1221,498.896788,6,2.451581,147,20.021247,146,19.885048,6,0.817194,1,0.136199,0,0.000000
297050,0.000182,72702,3402,918,505.075514,2,1.100382,98,17.972912,98,17.972912,4,0.733588,0,0.000000,0,0.000000
297281,0.000294,109872,6975,1730,629.823795,9,3.276540,191,23.178486,188,22.814426,6,0.728120,3,0.364060,0,0.000000
297282,0.000250,96621,6003,1460,604.423469,11,4.553875,153,21.113423,151,20.837430,9,1.241966,2,0.275992,0,0.000000
297283,0.000267,94768,5892,1504,634.813439,6,2.532500,146,20.541392,144,20.260003,2,0.281389,2,0.281389,0,0.000000
297284,0.000250,98380,5962,1462,594.429762,9,3.659280,149,20.193806,148,20.058277,2,0.271058,1,0.135529,0,0.000000
297285,0.000200,127208,5393,1362,428.274951,9,2.830011,142,14.883760,141,14.778945,4,0.419261,1,0.104815,0,0.000000
297286,0.000222,54003,3134,741,548.858397,4,2.962798,90,22.220988,89,21.974088,4,0.987599,1,0.246900,0,0.000000
297287,0.000250,96023,5584,1367,569.446903,5,2.082834,133,18.467798,133,18.467798,6,0.833134,0,0.000000,0,0.000000
297288,0.000267,93899,5412,1355,577.215945,3,1.277969,148,21.015488,147,20.873492,7,0.993976,1,0.141997,0,0.000000
297289,0.000267,93859,5306,1332,567.660001,7,2.983198,154,21.876787,154,21.876787,9,1.278514,0,0.000000,0,0.000000
297290,0.000267,92673,5309,1369,590.894867,2,0.863250,132,18.991508,131,18.847633,7,1.007125,1,0.143875,0,0.000000
297291,0.000235,106074,5848,1506,567.905425,3,1.131286,165,20.740238,164,20.614540,4,0.502794,1,0.125698,0,0.000000
297494,0.000286,228287,9943,2439,427.356792,9,1.576962,284,16.587307,281,16.412089,8,0.467248,3,0.175218,0,0.000000
297495,0.000312,105503,6318,1581,599.414235,6,2.274817,158,19.967837,157,19.841458,3,0.379136,1,0.126379,0,0.000000
297496,0.000304,148333,8843,2200,593.259760,6,1.617981,243,21.842746,243,21.842746,10,0.898878,0,0.000000,0,0.000000
297497,0.000312,100818,5965,1553,616.159813,4,1.587018,143,18.911967,143,18.911967,9,1.190264,0,0.000000,0,0.000000
297498,0.000267,100514,5804,1434,570.666773,8,3.183636,152,20.163029,151,20.030377,8,1.061212,1,0.132652,0,0.000000
297499,0.000312,103056,5776,1452,563.577084,5,1.940692,157,20.312581,155,20.053822,4,0.517518,2,0.258759,0,0.000000
297501,0.000294,110968,5959,1537,554.033595,12,4.325571,150,18.023214,150,18.023214,9,1.081393,0,0.000000,0,0.000000
297502,0.000312,108440,5794,1399,516.045740,10,3.688676,132,16.230173,128,15.738350,5,0.614779,4,0.491823,0,0.000000
297503,0.000250,27153,1493,358,527.381873,1,1.473134,35,17.186560,35,17.186560,4,1.964178,0,0.000000,0,0.000000
297557,0.000316,259838,15691,3937,606.069936,18,2.770957,423,21.705832,419,21.500576,5,0.256570,4,0.205256,0,0.000000
297562,0.000200,345416,13091,3287,380.642472,13,1.505431,343,13.240074,341,13.162872,6,0.231605,2,0.077202,0,0.000000
297605,0.000182,226704,7226,1844,325.358176,12,2.117298,175,10.292422,175,10.292422,6,0.352883,0,0.000000,0,0.000000
297620,0.000290,1893027,101827,25525,539.347828,117,2.472231,2385,16.798493,2367,16.671711,79,0.556428,18,0.126781,0,0.000000
297656,0.000296,2551776,144431,36321,569.344645,142,2.225901,3454,18.047561,3435,17.948284,125,0.653140,19,0.099277,0,0.000000
297660,0.000211,1480276,56175,14148,382.307083,70,1.891539,1308,11.781587,1302,11.727543,40,0.360293,6,0.054044,0,0.000000
297661,0.000188,824611,26843,6711,325.535313,19,0.921647,634,10.251298,633,10.235129,21,0.339554,1,0.016169,0,0.000000
297662,0.000250,104235,4400,1081,414.831870,3,1.151245,118,15.094098,117,14.966182,1,0.127916,1,0.127916,0,0.000000
297663,0.000250,109306,4495,1097,401.441824,5,1.829726,109,13.296007,108,13.174025,3,0.365945,1,0.121982,0,0.000000
297664,0.000211,133532,5611,1380,413.384058,5,1.497768,137,13.679617,135,13.479915,6,0.599107,2,0.199702,0,0.000000
297670,0.000312,109485,6630,1688,616.705485,6,2.192081,145,17.658431,145,17.658431,6,0.730694,0,0.000000,0,0.000000
297672,0.000286,96241,5441,1372,570.235139,8,3.324986,127,17.594719,124,17.179096,1,0.138541,3,0.415623,0,0.000000
297673,0.000267,97839,5381,1327,542.523942,10,4.088349,121,16.489675,119,16.217119,2,0.272557,2,0.272557,0,0.000000
297674,0.000500,11685,663,179,612.751391,0,0.000000,13,14.833833,13,14.833833,0,0.000000,0,0.000000,0,0.000000
297723,0.000297,256624,13418,3303,514.838830,11,1.714571,348,18.080928,345,17.925058,7,0.363697,3,0.155870,0,0.000000
