#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1105,468.523092,3,1.272008,121,17.101446,121,17.101446,3,0.424003,0,0.000000,0,0.000000
297048,0.000133,95186,4681,1158,486.626185,7,2.941609,136,19.050421,136,19.050421,1,0.140077,0,0.000000,0,0.000000
297049,0.000133,97896,4752,1221,498.896788,4,1.634388,144,19.612650,143,19.476451,5,0.680995,1,0.136199,0,0.000000
297050,0.000182,72702,3402,918,505.075514,2,1.100382,100,18.339706,100,18.339706,0,0.000000,0,0.000000,0,0.000000
297281,0.000294,109872,6975,1730,629.823795,7,2.548420,185,22.450366,183,22.207660,5,0.606767,2,0.242707,0,0.000000
297282,0.000250,96621,6003,1460,604.423469,6,2.483932,136,18.767487,134,18.491494,3,0.413989,2,0.275992,0,0.000000
297283,0.000267,94768,5892,1504,634.813439,5,2.110417,155,21.807643,152,21.385559,7,0.984861,3,0.422083,0,0.000000
297284,0.000250,98380,5962,1462,594.429762,5,2.032934,155,21.006980,154,20.871451,4,0.542116,1,0.135529,0,0.000000
297285,0.000200,127208,5393,1362,428.274951,9,2.830011,134,14.045238,133,13.940423,3,0.314446,1,0.104815,0,0.000000
297286,0.000222,54003,3134,741,548.858397,2,1.481399,65,16.048491,65,16.048491,1,0.246900,0,0.000000,0,0.000000
297287,0.000250,96023,5584,1367,569.446903,2,0.833134,145,20.134065,145,20.134065,3,0.416567,0,0.000000,0,0.000000
297288,0.000267,93899,5412,1355,577.215945,3,1.277969,127,18.033561,127,18.033561,0,0.000000,0,0.000000,0,0.000000
297289,0.000267,93859,5306,1332,567.660001,2,0.852342,133,18.893589,133,18.893589,2,0.284114,0,0.000000,0,0.000000
297290,0.000267,92673,5309,1369,590.894867,1,0.431625,122,17.552757,122,17.552757,2,0.287750,0,0.000000,0,0.000000
297291,0.000235,106074,5848,1506,567.905425,2,0.754190,144,18.100571,144,18.100571,2,0.251397,0,0.000000,0,0.000000
297494,0.000286,228287,9943,2439,427.356792,7,1.226526,228,13.316571,228,13.316571,1,0.058406,0,0.000000,0,0.000000
297495,0.000312,105503,6318,1581,599.414235,4,1.516545,132,16.681990,132,16.681990,4,0.505515,0,0.000000,0,0.000000
297496,0.000304,148333,8843,2200,593.259760,5,1.348318,203,18.247232,202,18.157344,3,0.269664,1,0.089888,0,0.000000
297497,0.000312,100818,5965,1553,616.159813,1,0.396755,150,19.837727,148,19.573224,4,0.529006,2,0.264503,0,0.000000
297498,0.000267,100514,5804,1434,570.666773,7,2.785682,128,16.979393,127,16.846741,2,0.265303,1,0.132652,0,0.000000
297499,0.000312,103056,5776,1452,563.577084,4,1.552554,143,18.501268,142,18.371888,1,0.129379,1,0.129379,0,0.000000
297501,0.000294,110968,5959,1537,554.033595,6,2.162786,144,17.302285,143,17.182131,4,0.480619,1,0.120155,0,0.000000
297502,0.000312,108440,5794,1399,516.045740,7,2.582073,144,17.705644,144,17.705644,1,0.122956,0,0.000000,0,0.000000
297503,0.000250,27153,1493,358,527.381873,0,0.000000,33,16.204471,33,16.204471,1,0.491045,0,0.000000,0,0.000000
297557,0.000316,259838,15691,3937,606.069936,15,2.309131,368,18.883561,366,18.780933,8,0.410512,2,0.102628,0,0.000000
297562,0.000200,345416,13091,3287,380.642472,10,1.158024,282,10.885425,282,10.885425,9,0.347407,0,0.000000,0,0.000000
297605,0.000182,226704,7226,1844,325.358176,10,1.764415,167,9.821912,167,9.821912,5,0.294069,0,0.000000,0,0.000000
297620,0.000290,1893027,101827,25525,539.347828,74,1.563633,2253,15.868765,2245,15.812418,48,0.338083,8,0.056347,0,0.000000
297656,0.000296,2551776,144431,36321,569.344645,97,1.520510,3163,16.527051,3149,16.453900,57,0.297832,14,0.073152,0,0.000000
297660,0.000211,1480276,56175,14148,382.307083,49,1.324077,1293,11.646477,1285,11.574418,21,0.189154,8,0.072059,0,0.000000
297661,0.000188,824611,26843,6711,325.535313,13,0.630600,611,9.879406,608,9.830898,13,0.210200,3,0.048508,0,0.000000
297662,0.000250,104235,4400,1081,414.831870,2,0.767497,92,11.768280,91,11.640364,3,0.383748,1,0.127916,0,0.000000
297663,0.000250,109306,4495,1097,401.441824,4,1.463781,108,13.174025,108,13.174025,3,0.365945,0,0.000000,0,0.000000
297664,0.000211,133532,5611,1380,413.384058,4,1.198215,120,11.982147,120,11.982147,1,0.099851,0,0.000000,0,0.000000
297670,0.000312,109485,6630,1688,616.705485,5,1.826734,120,14.613874,120,14.613874,2,0.243565,0,0.000000,0,0.000000
297672,0.000286,96241,5441,1372,570.235139,6,2.493740,124,17.179096,122,16.902013,1,0.138541,2,0.277082,0,0.000000
297673,0.000267,97839,5381,1327,542.523942,8,3.270679,127,17.307345,126,17.171067,3,0.408835,1,0.136278,0,0.000000
297674,0.000500,11685,663,179,612.751391,0,0.000000,20,22.821281,20,22.821281,0,0.000000,0,0.000000,0,0.000000
297723,0.000297,256624,13418,3303,514.838830,5,0.779350,275,14.288089,271,14.080263,5,0.259783,4,0.207827,0,0.000000
