#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1166,494.387263,878,372.274457,2338,330.439514,2178,307.826032,38,5.370702,160,22.613483,25,3.533357
297048,0.000133,95186,4681,1159,487.046414,939,394.595844,2343,328.199525,2169,303.826193,46,6.443525,174,24.373332,27,3.782069
297049,0.000133,97896,4752,1222,499.305385,954,389.801422,2472,336.683828,2284,311.078423,42,5.720356,188,25.605404,34,4.630765
297050,0.000182,72702,3402,841,462.710792,690,379.631922,1761,322.962229,1637,300.220993,21,3.851338,124,22.741236,20,3.667941
297281,0.000294,109872,6975,1752,637.833115,1231,448.157856,2990,362.846464,2771,336.270084,51,6.189020,219,26.576380,27,3.276540
297282,0.000250,96621,6003,1536,635.886609,1067,441.725919,2572,354.926293,2375,327.741036,30,4.139887,197,27.185256,38,5.243857
297283,0.000267,94768,5892,1478,623.839271,1002,422.927570,2623,369.041589,2415,339.777140,48,6.753334,208,29.264449,32,4.502223
297284,0.000250,98380,5962,1516,616.385444,1009,410.245985,2657,360.100291,2459,333.265569,47,6.369858,198,26.834723,26,3.523751
297285,0.000200,127208,5393,1400,440.223885,964,303.125590,2507,262.771733,2327,243.904995,42,4.402239,180,18.866738,30,3.144456
297286,0.000222,54003,3134,792,586.634076,518,383.682388,1390,343.190810,1278,315.538026,24,5.925597,112,27.652785,18,4.444198
297287,0.000250,96023,5584,1441,600.272851,936,389.906585,2439,338.668861,2249,312.286293,39,5.415369,190,26.382568,37,5.137658
297288,0.000267,93899,5412,1344,572.530059,892,379.982747,2278,323.468124,2112,299.896698,32,4.543889,166,23.571426,27,3.833907
297289,0.000267,93859,5306,1323,563.824460,812,346.050991,2284,324.458319,2134,303.149760,33,4.687883,150,21.308559,28,3.977598
297290,0.000267,92673,5309,1346,580.967488,825,356.090771,2301,331.056511,2125,305.734500,39,5.611127,176,25.322010,24,3.453001
297291,0.000235,106074,5848,1540,580.726663,947,357.109188,2613,328.449950,2420,304.190157,49,6.159222,193,24.259793,33,4.148048
297494,0.000286,228287,9943,2525,442.425543,1589,278.421461,4219,246.414966,3913,228.542726,64,3.737985,306,17.872240,56,3.270737
297495,0.000312,105503,6318,1613,611.546591,973,368.899463,2583,326.436215,2385,301.413230,38,4.802391,198,25.022985,30,3.791361
297496,0.000304,148333,8843,2233,602.158657,1368,368.899705,3664,329.349055,3418,307.236645,59,5.303383,246,22.112409,43,3.865177
297497,0.000312,100818,5965,1487,589.974013,962,381.677875,2447,323.619459,2270,300.210941,32,4.232049,177,23.408518,20,2.645030
297498,0.000267,100514,5804,1473,586.186999,925,368.107925,2481,329.108383,2288,303.506643,25,3.316288,193,25.601740,33,4.377500
297499,0.000312,103056,5776,1514,587.641671,941,365.238317,2454,317.497283,2282,295.244010,57,7.374631,172,22.253273,39,5.045800
297501,0.000294,110968,5959,1521,548.266167,973,350.731742,2548,306.154327,2351,282.483839,48,5.767428,197,23.670488,41,4.926345
297502,0.000312,108440,5794,1456,537.071191,931,343.415714,2514,309.111029,2322,285.503504,40,4.918234,192,23.607525,32,3.934587
297503,0.000250,27153,1493,379,558.317681,239,352.078960,565,277.440185,518,254.361090,8,3.928357,47,23.079095,5,2.455223
297557,0.000316,259838,15691,3907,601.451674,2461,378.851438,6809,349.397189,6326,324.612515,102,5.234030,483,24.784674,75,3.848552
297562,0.000200,345416,13091,3272,378.905436,2050,237.394909,5487,211.802580,5079,196.053454,111,4.284689,408,15.749126,64,2.470451
297605,0.000182,226704,7226,1786,315.124568,1175,207.318795,3040,178.794081,2816,165.619780,44,2.587809,224,13.174301,34,1.999671
297620,0.000290,1893027,101827,25742,543.933076,16031,338.737905,42534,299.583683,39412,277.594209,696,4.902202,3122,21.989473,584,4.113342
297656,0.000296,2551776,144431,36410,570.739751,22807,357.507869,59916,313.068232,55404,289.492495,1004,5.246020,4512,23.575737,798,4.169645
297660,0.000211,1480276,56175,13960,377.226950,8825,238.469042,23192,208.897980,21525,193.882762,364,3.278668,1667,15.015218,278,2.504038
297661,0.000188,824611,26843,6829,331.259224,4251,206.206320,11306,182.809430,10475,169.372791,171,2.764940,831,13.436639,123,1.988817
297662,0.000250,104235,4400,1144,439.008011,708,271.693769,1834,234.598104,1701,217.585264,26,3.325818,133,17.012840,21,2.686238
297663,0.000250,109306,4495,1127,412.420178,747,273.361023,1901,231.887240,1739,212.126202,28,3.415488,162,19.761038,32,3.903415
297664,0.000211,133532,5611,1408,421.771560,883,264.505886,2366,236.247990,2184,218.075068,46,4.593156,182,18.172922,32,3.195239
297670,0.000312,109485,6630,1694,618.897566,1061,387.633009,2733,332.830981,2536,308.839872,54,6.576243,197,23.991110,33,4.018815
297672,0.000286,96241,5441,1369,568.988269,868,360.761006,2278,315.596610,2107,291.906083,36,4.987479,171,23.690527,34,4.710397
297673,0.000267,97839,5381,1410,576.457241,847,346.283180,2266,308.806645,2095,285.503054,42,5.723689,171,23.303591,21,2.861844
297674,0.000500,11685,663,156,534.017972,105,359.435173,250,285.266011,233,265.867922,7,7.987448,17,19.398089,3,3.423192
297723,0.000297,256624,13418,3418,532.763888,2123,330.912152,5727,297.555957,5306,275.682191,91,4.728059,421,21.873766,64,3.325228
