#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,4557,1166,494.387263,48,20.352134,392,55.403032,384,54.272358,13,1.837345,8,1.130674,1,0.141334
297048,0.000133,95186,4681,1159,487.046414,53,22.272183,369,51.688273,368,51.548197,10,1.400766,1,0.140077,0,0.000000
297049,0.000133,97896,4752,1222,499.305385,58,23.698619,381,51.891804,376,51.210809,17,2.315382,5,0.680995,1,0.136199
297050,0.000182,72702,3402,841,462.710792,50,27.509560,244,44.748884,243,44.565487,6,1.100382,1,0.183397,0,0.000000
297281,0.000294,109872,6975,1752,637.833115,94,34.221640,451,54.730353,447,54.244940,7,0.849473,4,0.485413,1,0.121353
297282,0.000250,96621,6003,1536,635.886609,78,32.291117,349,48.160683,345,47.608698,13,1.793951,4,0.551985,2,0.275992
297283,0.000267,94768,5892,1478,623.839271,75,31.656255,401,56.418482,394,55.433620,8,1.125556,7,0.984861,1,0.140694
297284,0.000250,98380,5962,1516,616.385444,67,27.241309,422,57.193196,419,56.786610,6,0.813173,3,0.406587,2,0.271058
297285,0.000200,127208,5393,1400,440.223885,63,19.810075,388,40.668302,385,40.353856,5,0.524076,3,0.314446,0,0.000000
297286,0.000222,54003,3134,792,586.634076,34,25.183786,200,49.379973,200,49.379973,5,1.234499,0,0.000000,0,0.000000
297287,0.000250,96023,5584,1441,600.272851,62,25.827146,408,56.653094,407,56.514238,8,1.110845,1,0.138856,1,0.138856
297288,0.000267,93899,5412,1344,572.530059,68,28.967295,362,51.402748,360,51.118755,9,1.277969,2,0.283993,1,0.141997
297289,0.000267,93859,5306,1323,563.824460,49,20.882387,338,48.015285,336,47.731171,8,1.136456,2,0.284114,0,0.000000
297290,0.000267,92673,5309,1346,580.967488,45,19.423133,350,50.356271,347,49.924645,11,1.582626,3,0.431625,1,0.143875
297291,0.000235,106074,5848,1540,580.726663,66,24.888286,406,51.033555,404,50.782158,10,1.256984,2,0.251397,0,0.000000
297494,0.000286,228287,9943,2525,442.425543,97,16.996150,635,37.087818,633,36.971006,10,0.584060,2,0.116812,1,0.058406
297495,0.000312,105503,6318,1613,611.546591,67,25.402121,379,47.897532,375,47.392017,10,1.263787,4,0.505515,2,0.252757
297496,0.000304,148333,8843,2233,602.158657,89,24.000054,543,48.809098,535,48.089996,11,0.988766,8,0.719103,2,0.179776
297497,0.000312,100818,5965,1487,589.974013,57,22.615009,420,55.545637,416,55.016631,9,1.190264,4,0.529006,1,0.132252
297498,0.000267,100514,5804,1473,586.186999,80,31.836361,389,51.601435,387,51.336132,10,1.326515,2,0.265303,0,0.000000
297499,0.000312,103056,5776,1514,587.641671,70,27.169694,373,48.258552,369,47.741034,8,1.035036,4,0.517518,0,0.000000
297501,0.000294,110968,5959,1521,548.266167,69,24.872035,370,44.457261,367,44.096797,11,1.321702,3,0.360464,0,0.000000
297502,0.000312,108440,5794,1456,537.071191,75,27.665068,378,46.477315,377,46.354359,12,1.475470,1,0.122956,0,0.000000
297503,0.000250,27153,1493,379,558.317681,11,16.204471,86,42.229833,86,42.229833,4,1.964178,0,0.000000,0,0.000000
297557,0.000316,259838,15691,3907,601.451674,168,25.862268,996,51.108768,983,50.441685,21,1.077595,13,0.667082,0,0.000000
297562,0.000200,345416,13091,3272,378.905436,147,17.022952,816,31.498251,815,31.459651,18,0.694814,1,0.038601,1,0.038601
297605,0.000182,226704,7226,1786,315.124568,77,13.585998,475,27.936575,473,27.818947,3,0.176442,2,0.117628,0,0.000000
297620,0.000290,1893027,101827,25742,543.933076,1055,22.292339,6396,45.049542,6349,44.718503,127,0.894511,47,0.331039,9,0.063391
297656,0.000296,2551776,144431,36410,570.739751,1517,23.779517,9069,47.386604,8985,46.947694,180,0.940521,84,0.438910,20,0.104502
297660,0.000211,1480276,56175,13960,377.226950,614,16.591501,3638,32.768664,3612,32.534473,88,0.792645,26,0.234191,5,0.045037
297661,0.000188,824611,26843,6829,331.259224,295,14.309778,1702,27.520047,1692,27.358354,44,0.711447,10,0.161692,3,0.048508
297662,0.000250,104235,4400,1144,439.008011,56,21.489903,251,32.106938,247,31.595274,4,0.511664,4,0.511664,2,0.255832
297663,0.000250,109306,4495,1127,412.420178,50,18.297257,306,37.326405,302,36.838478,9,1.097835,4,0.487927,0,0.000000
297664,0.000211,133532,5611,1408,421.771560,71,21.268310,328,32.751201,326,32.551498,10,0.998512,2,0.199702,0,0.000000
297670,0.000312,109485,6630,1694,618.897566,52,18.998036,364,44.328751,363,44.206969,11,1.339605,1,0.121782,0,0.000000
297672,0.000286,96241,5441,1369,568.988269,57,23.690527,338,46.826889,337,46.688348,8,1.108329,1,0.138541,0,0.000000
297673,0.000267,97839,5381,1410,576.457241,59,24.121260,348,47.424851,343,46.743459,7,0.953948,5,0.681392,0,0.000000
297674,0.000500,11685,663,156,534.017972,6,20.539153,43,49.065754,43,49.065754,1,1.141064,0,0.000000,0,0.000000
297723,0.000297,256624,13418,3418,532.763888,145,22.601160,807,41.929048,800,41.565351,13,0.675437,7,0.363697,1,0.051957
