#runNumber,lumi per LS (/fb),nEvent,HO_SOI,HO_SOI_wh0,MB2,MB2_wh+-1,HO_SOI_MB2_ringCrosser
297047,0.000133,94339,42945,4353,7577,3091,16
297048,0.000133,95186,42645,4314,7447,3067,18
297049,0.000133,97896,43421,4660,7448,2937,14
297050,0.000182,72702,31644,3373,5559,2283,12
297281,0.000294,109872,66110,6569,9329,3872,34
297282,0.000250,96621,57763,5752,8357,3467,19
297283,0.000267,94768,56493,5659,8072,3249,16
297284,0.000250,98380,57447,5623,8254,3329,23
297285,0.000200,127208,52877,5381,7647,3060,18
297286,0.000222,54003,30606,3014,4380,1760,18
297287,0.000250,96023,53822,5415,7449,3001,20
297288,0.000267,93899,51844,5092,7403,3001,14
297289,0.000267,93859,50576,4980,7259,3009,22
297290,0.000267,92673,50180,5019,6959,2817,22
297291,0.000235,106074,56499,5682,8048,3186,29
297494,0.000286,228287,95696,9357,13098,5432,42
297495,0.000312,105503,60571,5878,8285,3360,16
297496,0.000304,148333,84873,8457,11508,4614,19
297497,0.000312,100818,57061,5775,7499,3008,19
297498,0.000267,100514,55214,5614,7627,3049,20
297499,0.000312,103056,56286,5642,7657,3034,21
297501,0.000294,110968,58029,5717,7850,3132,18
297502,0.000312,108440,56842,5547,7665,3047,22
297503,0.000250,27153,14209,1456,1915,808,8
297557,0.000316,259838,149442,14925,20590,8353,55
297562,0.000200,345416,126329,12596,17018,6857,28
297605,0.000182,226704,70716,7035,9697,3934,14
297620,0.000290,1893027,978179,96621,131472,53345,312
297656,0.000296,1111114,616316,61123,82784,33775,211
