#runNumber,lumi per LS (/fb),nEvent,HO_SOI,HO_SOI_wh0,MB2,MB2_wh+-1,HO_SOI_MB2_ringCrosser
297047,0.000133,94339,42945,4353,6612,2020,18
297048,0.000133,95186,42645,4314,6743,2063,14
297049,0.000133,97896,43421,4660,6758,2042,20
297050,0.000182,72702,31644,3373,4875,1475,11
297281,0.000294,109872,66110,6569,8605,2596,9
297282,0.000250,96621,57763,5752,7499,2291,24
297283,0.000267,94768,56493,5659,7412,2279,12
297284,0.000250,98380,57447,5623,7423,2301,20
297285,0.000200,127208,52877,5381,6878,2086,22
297286,0.000222,54003,30606,3014,4049,1229,12
297287,0.000250,96023,53822,5415,6915,2077,18
297288,0.000267,93899,51844,5092,6747,2009,15
297289,0.000267,93859,50576,4980,6568,1862,20
297290,0.000267,92673,50180,5019,6440,2014,12
297291,0.000235,106074,56499,5682,7257,2196,20
297494,0.000286,228287,95696,9357,12119,3672,26
297495,0.000312,105503,60571,5878,7686,2354,18
297496,0.000304,148333,84873,8457,10598,3195,31
297497,0.000312,100818,57061,5775,7003,2143,10
297498,0.000267,100514,55214,5614,6895,2027,14
297499,0.000312,103056,56286,5642,6856,2087,27
297501,0.000294,110968,58029,5717,7225,2102,18
297502,0.000312,108440,56842,5547,7037,2118,12
297503,0.000250,27153,14209,1456,1747,540,5
297557,0.000316,259838,149442,14925,18658,5594,41
297562,0.000200,345416,126329,12596,15529,4572,38
297605,0.000182,226704,70716,7035,8677,2519,17
297620,0.000290,1893027,978179,96621,119430,35836,279
297656,0.000296,1111114,616316,61123,75067,22259,185
