#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,169328,42945,18208.800178,3508,495.800606,3390,479.123162,293,41.410940,118,16.677443,13,1.837345
297048,0.000133,95186,169368,42645,17920.702624,3704,518.843808,3559,498.532697,252,35.299309,145,20.311110,16,2.241226
297049,0.000133,97896,170911,43421,17741.685054,3645,496.445207,3514,478.603143,255,34.730735,131,17.842064,10,1.361990
297050,0.000182,72702,124860,31644,17410.250062,2587,474.448204,2477,454.274527,199,36.496016,110,20.173677,17,3.117750
297281,0.000294,109872,263203,66110,24068.006407,4524,549.002476,4334,525.945342,361,43.808553,190,23.057133,17,2.063007
297282,0.000250,96621,229880,57763,23913.227973,4036,556.952767,3862,532.941424,283,39.052932,174,24.011343,16,2.207940
297283,0.000267,94768,222625,56493,23844.757724,3871,544.628285,3692,519.443975,305,42.911813,179,25.184310,24,3.376667
297284,0.000250,98380,227785,57447,23357.186420,4034,546.723589,3848,521.515213,300,40.658670,186,25.208376,30,4.065867
297285,0.000200,127208,208436,52877,16626.941702,3575,374.714379,3440,360.564325,288,30.186781,135,14.150053,9,0.943337
297286,0.000222,54003,120672,30606,22669.851675,2020,498.737724,1953,482.195434,145,35.800480,67,16.542291,7,1.728299
297287,0.000250,96023,212202,53822,22420.461764,3580,497.103125,3417,474.469658,252,34.991617,163,22.633466,21,2.915968
297288,0.000267,93899,204495,51844,22085.006230,3548,503.803732,3393,481.794268,248,35.215143,155,22.009464,14,1.987952
297289,0.000267,93859,201332,50576,21554.033177,3491,495.921187,3359,477.169655,278,39.491862,132,18.751532,12,1.704685
297290,0.000267,92673,195804,50180,21658.951367,3409,490.470076,3278,471.622443,275,39.565641,131,18.847633,11,1.582626
297291,0.000235,106074,222231,56499,21305.503705,3935,494.623250,3804,478.156758,313,39.343603,131,16.466492,27,3.393857
297494,0.000286,228287,380048,95696,16767.665263,6432,375.667471,6190,361.533216,491,28.677352,242,14.134255,29,1.693774
297495,0.000312,105503,240422,60571,22964.655034,4032,509.558970,3872,489.338376,292,36.902584,160,20.220594,24,3.033089
297496,0.000304,148333,336047,84873,22887.152555,5638,506.787656,5400,485.394349,431,38.741660,238,21.393307,24,2.157308
297497,0.000312,100818,224249,57061,22639.211252,3866,511.284361,3709,490.520873,324,42.849491,157,20.763488,18,2.380527
297498,0.000267,100514,220211,55214,21972.660525,3496,463.749660,3353,444.780495,243,32.234316,143,18.969165,21,2.785682
297499,0.000312,103056,222046,56286,21846.762925,3642,471.200124,3497,452.440097,262,33.897428,145,18.760027,15,1.940692
297501,0.000294,110968,230081,58029,20917.381587,3765,452.382669,3619,434.840074,301,36.166583,146,17.542595,19,2.282940
297502,0.000312,108440,225279,56842,20967.170786,3757,461.945162,3609,443.747695,287,35.288331,148,18.197467,18,2.213205
297503,0.000250,27153,55948,14209,20931.757080,922,452.743098,873,428.681914,66,32.408942,49,24.061184,4,1.964178
297557,0.000316,259838,595260,149442,23005.411064,9940,510.061397,9513,488.150309,761,39.049972,427,21.911088,41,2.103875
297562,0.000200,345416,499426,126329,14629.200732,8224,317.452965,7957,307.146552,645,24.897515,267,10.306413,40,1.544032
297605,0.000182,21232,26606,6739,12695.930671,430,270.032655,414,259.984928,29,18.211505,16,10.047727,0,0.000000
