#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
297047,0.000133,94339,3444,14310,6067.480045,1527,215.817424,1273,179.918521,1,0.141334,254,35.898904,0,0.000000
297048,0.000133,95186,3319,14180,5958.859496,1565,219.219913,1296,181.539302,3,0.420230,269,37.680611,0,0.000000
297049,0.000133,97896,3562,14546,5943.450192,1519,206.886219,1272,173.245076,3,0.408597,247,33.641143,0,0.000000
297050,0.000182,72702,2494,10617,5841.379880,1090,199.902800,883,161.939607,1,0.183397,207,37.963192,0,0.000000
297281,0.000294,109872,5354,22316,8124.362895,1872,227.173438,1535,186.277365,5,0.606767,337,40.896073,0,0.000000
297282,0.000250,96621,4679,19688,8150.609081,1655,228.383754,1343,185.328931,3,0.413989,312,43.054822,0,0.000000
297283,0.000267,94768,4581,19270,8133.547189,1658,233.271428,1349,189.796837,2,0.281389,309,43.474591,1,0.140694
297284,0.000250,98380,4527,19362,7872.331775,1678,227.417497,1377,186.623297,2,0.271058,301,40.794199,0,0.000000
297285,0.000200,127208,4256,17930,5638.010188,1532,160.576903,1267,132.800872,1,0.104815,265,27.776031,2,0.209630
297286,0.000222,54003,2486,10480,7762.531711,927,228.876174,759,187.396996,3,0.740700,168,41.479177,0,0.000000
297287,0.000250,96023,4313,18246,7600.679004,1532,212.726812,1273,176.763206,2,0.277711,259,35.963606,0,0.000000
297288,0.000267,93899,4067,17605,7499.547386,1545,219.384658,1251,177.637675,1,0.141997,294,41.746983,0,0.000000
297289,0.000267,93859,4158,17132,7301.164513,1504,213.653814,1220,173.309610,1,0.142057,284,40.344204,0,0.000000
297290,0.000267,92673,4026,17118,7388.559775,1451,208.762710,1216,174.952072,4,0.575500,235,33.810639,0,0.000000
297291,0.000235,106074,4568,19164,7226.653091,1636,205.642602,1342,168.687269,4,0.502794,294,36.955333,0,0.000000
297494,0.000286,228287,7641,32381,5673.735254,2659,155.301587,2166,126.507423,2,0.116812,493,28.794164,0,0.000000
297495,0.000312,105503,4921,20727,7858.354739,1771,223.816700,1472,186.029465,4,0.505515,299,37.787235,0,0.000000
297496,0.000304,148333,6806,28827,7773.590502,2403,216.000485,1986,178.517255,3,0.269664,417,37.483230,0,0.000000
297497,0.000312,100818,4556,19438,7712.114900,1604,212.131432,1335,176.555774,2,0.264503,269,35.575658,0,0.000000
297498,0.000267,100514,4385,19102,7601.727123,1612,213.834225,1309,173.640820,4,0.530606,303,40.193406,0,0.000000
297499,0.000312,103056,4472,19205,7454.199658,1520,196.656834,1228,158.878021,4,0.517518,292,37.778813,0,0.000000
297501,0.000294,110968,4576,19854,7156.657775,1662,199.697210,1374,165.092639,2,0.240310,288,34.604571,0,0.000000
297502,0.000312,108440,4474,19290,7115.455551,1576,193.778434,1296,159.350793,2,0.245912,280,34.427640,0,0.000000
297503,0.000250,27153,1131,4946,7286.119397,357,175.302913,294,144.367105,1,0.491045,63,30.935808,0,0.000000
297557,0.000316,259838,11993,51015,7853.354783,4290,220.137162,3504,179.804340,6,0.307884,786,40.332823,0,0.000000
297562,0.000200,345416,10022,43242,5007.527156,3647,140.777111,3060,118.118443,4,0.154403,587,22.658669,3,0.115802
297605,0.000182,226704,5758,24119,4255.593196,1950,114.686993,1643,96.631143,2,0.117628,307,18.055850,0,0.000000
297620,0.000290,1893027,77669,334401,7065.953101,26938,189.734924,22086,155.560380,40,0.281736,4852,34.174543,5,0.035217
297656,0.000296,2551776,110287,473608,7423.974518,38039,198.758303,31321,163.655953,53,0.276931,6718,35.102350,7,0.036576
297660,0.000211,1480276,43314,184285,4979.747020,14887,134.092111,12281,110.619011,17,0.153125,2606,23.473100,2,0.018015
297661,0.000188,824611,20680,89351,4334.213344,7252,117.259330,5980,96.692056,9,0.145523,1272,20.567274,1,0.016169
297662,0.000250,104235,3433,14233,5461.889001,1189,152.092227,984,125.869430,6,0.767497,205,26.222798,2,0.255832
297663,0.000250,109306,3482,14969,5477.832873,1331,162.357663,1098,133.935923,0,0.000000,233,28.421740,0,0.000000
297664,0.000211,133532,4169,18056,5408.740976,1500,149.776833,1223,122.118044,4,0.399405,277,27.658788,0,0.000000
297670,0.000312,109485,4995,21447,7835.593917,1816,221.156627,1516,184.621942,3,0.365347,300,36.534685,0,0.000000
297672,0.000286,96241,4069,17595,7312.891595,1473,204.071030,1190,164.863901,2,0.277082,283,39.207129,2,0.277082
297673,0.000267,97839,4110,17807,7280.123468,1374,187.246395,1106,150.723808,3,0.408835,268,36.522586,0,0.000000
297674,0.000500,11685,527,2276,7791.185280,186,212.237912,139,158.607902,0,0.000000,47,53.630010,0,0.000000
297723,0.000297,256624,10505,44590,6950.246275,3736,194.110190,3085,160.286385,7,0.363697,651,33.823804,0,0.000000
