#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,57,9.164061,320,51.447359,299,48.071126,22,3.537006,21,3.376233,4,0.643092
305746,0.022475,240933,36800,18696,3103.933459,51,8.467084,283,46.984016,263,43.663591,15,2.490319,20,3.320425,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,7,4.440286,59,37.425268,56,35.522289,2,1.268653,3,1.902980,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,5,3.255314,61,39.714834,60,39.063772,1,0.651063,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,12,7.863567,75,49.147294,71,46.526105,1,0.655297,4,2.621189,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,8,5.327828,65,43.288602,64,42.622623,5,3.329892,1,0.665978,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,6,3.865232,61,39.296528,57,36.719706,5,3.221027,4,2.576821,1,0.644205
305752,0.022200,61887,8752,4382,2832.258794,12,7.756072,78,50.414465,73,47.182769,12,7.756072,5,3.231696,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,9,5.957010,66,43.684742,64,42.360962,2,1.323780,2,1.323780,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,5,3.272144,72,47.118877,69,45.155590,5,3.272144,3,1.963287,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,13,8.458723,77,50.101667,73,47.498983,5,3.253355,4,2.602684,1,0.650671
305756,0.023471,113035,16934,8119,2873.092405,27,9.554563,159,56.265758,150,53.080904,3,1.061618,9,3.184854,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,222,5.170685,1654,38.523932,1564,36.427709,53,1.234443,90,2.096224,5,0.116457
305758,0.002923,626302,11710,5641,360.273478,13,0.830270,92,5.875760,86,5.492558,3,0.191601,6,0.383202,0,0.000000
306126,0.041094,1521414,164274,43491,1143.436303,29,0.762449,293,7.703360,286,7.519321,21,0.552118,7,0.184039,0,0.000000
306139,0.085532,653362,143610,37964,2324.224549,19,1.163214,226,13.836128,219,13.407575,17,1.040771,7,0.428553,0,0.000000
306425,0.243153,17322,10360,2736,6317.977139,4,9.236809,15,34.638033,13,30.019628,0,0.000000,2,4.618404,0,0.000000
306432,0.018331,52426,2730,714,544.767863,0,0.000000,2,1.525960,2,1.525960,0,0.000000,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,84,4.875600,708,41.094340,677,39.295012,40,2.321714,31,1.799328,2,0.116086
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,5,17.656926,5,17.656926,0,0.000000,0,0.000000,0,0.000000
