#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,57,9.164061,243,39.067838,241,38.746292,16,2.572368,2,0.321546,1,0.160773
305746,0.022475,240933,36800,18696,3103.933459,51,8.467084,265,43.995634,261,43.331549,11,1.826234,4,0.664085,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,7,4.440286,56,35.522289,55,34.887962,3,1.902980,1,0.634327,0,0.000000
305748,0.022500,61438,9403,4701,3060.646505,5,3.255314,66,42.970149,65,42.319086,0,0.000000,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,12,7.863567,68,44.560214,67,43.904916,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,8,5.327828,76,50.614365,74,49.282408,2,1.331957,2,1.331957,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,6,3.865232,75,48.315403,75,48.315403,6,3.865232,0,0.000000,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,12,7.756072,66,42.658394,66,42.658394,5,3.231696,0,0.000000,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,9,5.957010,54,35.742061,53,35.080171,1,0.661890,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,5,3.272144,61,39.920160,60,39.265731,5,3.272144,1,0.654429,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,13,8.458723,68,44.245628,64,41.642944,4,2.602684,4,2.602684,0,0.000000
305756,0.023471,113035,16934,8119,2873.092405,27,9.554563,126,44.587959,123,43.526341,1,0.353873,3,1.061618,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,222,5.170685,1502,34.983644,1477,34.401359,43,1.001529,25,0.582284,2,0.046583
305758,0.002923,626302,11710,5641,360.273478,13,0.830270,64,4.087485,62,3.959751,2,0.127734,2,0.127734,0,0.000000
306126,0.041094,1521414,164274,43491,1143.436303,29,0.762449,375,9.859249,373,9.806667,13,0.341787,2,0.052583,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,19,1.163214,371,22.713289,369,22.590846,13,0.795883,2,0.122444,0,0.000000
306425,0.243153,17322,10360,2736,6317.977139,4,9.236809,27,62.348459,26,60.039256,0,0.000000,1,2.309202,0,0.000000
306432,0.018331,52426,2730,714,544.767863,0,0.000000,7,5.340861,7,5.340861,1,0.762980,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,84,4.875600,989,57.404382,983,57.056125,28,1.625200,6,0.348257,1,0.058043
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,15,52.970778,15,52.970778,1,3.531385,0,0.000000,0,0.000000
