#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,18,2.893914,190,30.546869,182,29.260685,137,22.025901,8,1.286184,4,0.643092
305746,0.022475,240933,36800,18696,3103.933459,22,3.652468,156,25.899316,148,24.571146,110,18.262338,8,1.328170,2,0.332043
305747,0.023100,63059,8942,4213,2672.417894,1,0.634327,41,26.007390,40,25.373063,31,19.664124,1,0.634327,1,0.634327
305748,0.022500,61438,9403,4701,3060.646505,4,2.604251,40,26.042514,40,26.042514,21,13.672320,0,0.000000,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,5,3.276486,43,28.177782,42,27.522485,24,15.727134,1,0.655297,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,4,2.663914,40,26.639140,40,26.639140,33,21.977290,0,0.000000,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,2,1.288411,35,22.547188,33,21.258777,27,17.393545,2,1.288411,1,0.644205
305752,0.022200,61887,8752,4382,2832.258794,3,1.939018,43,27.792590,42,27.146250,35,22.621875,1,0.646339,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,2,1.323780,40,26.475601,39,25.813711,36,23.828041,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,2,1.308858,39,25.522725,39,25.522725,29,18.978437,0,0.000000,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,6,3.904026,46,29.930866,43,27.978853,33,21.472143,3,1.952013,1,0.650671
305756,0.023471,113035,16934,8119,2873.092405,7,2.477109,104,36.802760,101,35.741142,53,18.755253,3,1.061618,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,61,1.420774,961,22.383010,932,21.707560,561,13.066461,29,0.675450,2,0.046583
305758,0.002923,626302,11710,5641,360.273478,5,0.319335,53,3.384948,52,3.321082,41,2.618545,1,0.063867,0,0.000000
306029,0.275000,259155,59937,15862,2448.264552,0,0.000000,78,12.039127,77,11.884779,60,9.260867,1,0.154348,1,0.154348
306091,0.381910,1782405,1631630,432138,9697.863280,128,2.872523,1652,37.073505,1604,35.996308,1189,26.683049,48,1.077196,15,0.336624
306126,0.041094,1521414,164274,43491,1143.436303,9,0.236622,188,4.942770,183,4.811314,135,3.549330,5,0.131457,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,6,0.367331,145,8.877162,141,8.632274,105,6.428289,4,0.244887,1,0.061222
306425,0.243153,986696,603070,159823,6479.118188,38,1.540495,588,23.837129,562,22.783106,437,17.715690,26,1.054023,5,0.202697
306432,0.018331,1416543,71555,19036,537.533982,3,0.084713,53,1.496601,53,1.496601,46,1.298937,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,31,1.799328,441,25.596898,428,24.842341,326,18.921970,13,0.754557,4,0.232171
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,5,17.656926,5,17.656926,4,14.125541,0,0.000000,0,0.000000
