#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,57,9.164061,243,39.067838,241,38.746292,134,21.543582,2,0.321546,1,0.160773
305746,0.022475,240933,36800,18696,3103.933459,51,8.467084,265,43.995634,261,43.331549,133,22.080827,4,0.664085,1,0.166021
305747,0.023100,63059,8942,4213,2672.417894,7,4.440286,56,35.522289,55,34.887962,33,20.932777,1,0.634327,1,0.634327
305748,0.022500,61438,9403,4701,3060.646505,5,3.255314,66,42.970149,65,42.319086,30,19.531886,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,12,7.863567,68,44.560214,67,43.904916,28,18.348323,1,0.655297,1,0.655297
305750,0.024111,60062,8500,4187,2788.451933,8,5.327828,76,50.614365,74,49.282408,42,27.971097,2,1.331957,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,6,3.865232,75,48.315403,75,48.315403,45,28.989242,0,0.000000,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,12,7.756072,66,42.658394,66,42.658394,37,23.914554,0,0.000000,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,9,5.957010,54,35.742061,53,35.080171,31,20.518591,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,5,3.272144,61,39.920160,60,39.265731,32,20.941723,1,0.654429,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,13,8.458723,68,44.245628,64,41.642944,36,23.424156,4,2.602684,1,0.650671
305756,0.023471,113035,16934,8119,2873.092405,27,9.554563,126,44.587959,123,43.526341,47,16.632017,3,1.061618,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,222,5.170685,1502,34.983644,1477,34.401359,612,14.254321,25,0.582284,3,0.069874
305758,0.002923,626302,11710,5641,360.273478,13,0.830270,64,4.087485,62,3.959751,32,2.043742,2,0.127734,1,0.063867
306029,0.275000,259155,59937,15862,2448.264552,5,0.771739,155,23.923907,154,23.769559,62,9.569563,1,0.154348,0,0.000000
306091,0.381910,1782405,1631630,432138,9697.863280,348,7.809673,4218,94.658621,4180,93.805841,1437,32.248563,38,0.852780,11,0.246857
306126,0.041094,1521414,164274,43491,1143.436303,30,0.788740,375,9.859249,373,9.806667,136,3.575621,2,0.052583,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,19,1.163214,371,22.713289,369,22.590846,133,8.142500,2,0.122444,0,0.000000
306425,0.243153,986696,603070,159823,6479.118188,132,5.351192,1558,63.160284,1548,62.754891,490,19.864274,10,0.405393,4,0.162157
306432,0.018331,1416543,71555,19036,537.533982,16,0.451804,158,4.461566,157,4.433328,53,1.496601,1,0.028238,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,86,4.991685,989,57.404382,983,57.056125,331,19.212184,6,0.348257,2,0.116086
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,15,52.970778,15,52.970778,4,14.125541,0,0.000000,0,0.000000
