#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,3603,2502,402.254037,18,2.893914,39,6.270147,35,5.627055,9,1.446957,4,0.643092,2,0.321546
305746,0.022475,240933,3455,1948,323.409413,22,3.652468,47,7.802999,44,7.304935,8,1.328170,3,0.498064,1,0.166021
305747,0.023100,63059,870,587,372.349704,1,0.634327,11,6.977592,10,6.343266,2,1.268653,1,0.634327,0,0.000000
305748,0.022500,61438,819,358,233.080504,4,2.604251,12,7.812754,12,7.812754,1,0.651063,0,0.000000,0,0.000000
305749,0.022200,61041,843,377,247.047067,5,3.276486,14,9.174162,13,8.518864,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,820,574,382.271653,4,2.663914,13,8.657720,13,8.657720,3,1.997935,0,0.000000,0,0.000000
305751,0.022300,62092,787,565,363.976036,2,1.288411,8,5.153643,7,4.509438,4,2.576821,1,0.644205,0,0.000000
305752,0.022200,61887,830,601,388.449917,3,1.939018,15,9.695089,14,9.048750,5,3.231696,1,0.646339,0,0.000000
305753,0.021500,60433,795,564,373.305975,2,1.323780,12,7.942680,12,7.942680,2,1.323780,0,0.000000,0,0.000000
305754,0.021600,61122,859,597,390.694022,2,1.308858,8,5.235431,8,5.235431,4,2.617715,0,0.000000,0,0.000000
305755,0.021700,61475,815,569,370.231802,6,3.904026,12,7.808052,11,7.157381,2,1.301342,1,0.650671,0,0.000000
305756,0.023471,113035,1600,626,221.524307,7,2.477109,32,11.323926,31,10.970054,2,0.707745,1,0.353873,0,0.000000
305757,0.021842,1717374,19706,10070,234.544135,61,1.420774,265,6.172214,258,6.009174,34,0.791907,7,0.163040,0,0.000000
305758,0.002923,626302,934,619,39.533644,5,0.319335,13,0.830270,13,0.830270,3,0.191601,0,0.000000,0,0.000000
306029,0.275000,259155,4786,1315,202.967336,0,0.000000,21,3.241303,20,3.086956,10,1.543478,1,0.154348,0,0.000000
306091,0.381910,1782405,129805,35001,785.478048,128,2.872523,401,8.999077,385,8.640012,108,2.423692,16,0.359065,5,0.112208
306126,0.041094,1521414,12672,3441,90.468472,9,0.236622,55,1.446023,53,1.393441,12,0.315496,2,0.052583,0,0.000000
306139,0.085532,653362,11220,3053,186.910166,6,0.367331,31,1.897876,30,1.836654,14,0.857105,1,0.061222,0,0.000000
306425,0.243153,986696,47482,12890,522.552032,38,1.540495,152,6.161979,146,5.918743,54,2.189124,6,0.243236,1,0.040539
306432,0.018331,1416543,5393,1472,41.565981,3,0.084713,14,0.395329,14,0.395329,2,0.056476,0,0.000000,0,0.000000
306458,0.232209,689146,32438,8706,505.321079,31,1.799328,106,6.152542,100,5.804285,29,1.683243,6,0.348257,2,0.116086
306459,0.219250,11327,461,153,540.301933,0,0.000000,1,3.531385,1,3.531385,0,0.000000,0,0.000000,0,0.000000
