#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,3603,2502,402.254037,3090,496.788559,694,111.576460,510,81.994228,124,19.935852,184,29.582231,52,8.360196
305746,0.022475,240933,3455,1948,323.409413,3040,504.704627,687,114.056605,512,85.002885,68,11.289446,175,29.053720,30,4.980638
305747,0.023100,63059,870,587,372.349704,737,467.498692,163,103.395233,126,79.925149,43,27.276043,37,23.470084,8,5.074613
305748,0.022500,61438,819,358,233.080504,746,485.692894,156,101.565806,108,70.314789,4,2.604251,48,31.251017,3,1.953189
305749,0.022200,61041,843,377,247.047067,722,473.124621,172,112.711129,130,85.188644,8,5.242378,42,27.522485,2,1.310595
305750,0.024111,60062,820,574,382.271653,740,492.824082,175,116.546236,127,84.579268,27,17.981419,48,31.966967,15,9.989677
305751,0.022300,62092,787,565,363.976036,752,484.442440,163,105.005476,113,72.795207,28,18.037750,50,32.210269,18,11.595697
305752,0.022200,61887,830,601,388.449917,747,482.815454,166,107.292323,121,78.207055,32,20.682857,45,29.085268,10,6.463393
305753,0.021500,60433,795,564,373.305975,715,473.251369,131,86.707594,89,58.908212,20,13.237801,42,27.799381,13,8.604570
305754,0.021600,61122,859,597,390.694022,686,448.938189,147,96.201041,116,75.913746,29,18.978437,31,20.287294,6,3.926573
305755,0.021700,61475,815,569,370.231802,706,459.373729,134,87.189915,97,63.115087,20,13.013420,37,24.074827,12,7.808052
305756,0.023471,113035,1600,626,221.524307,1317,466.050338,303,107.223426,226,79.975229,7,2.477109,77,27.248197,6,2.123236
305757,0.021842,1717374,19706,10070,234.544135,16988,395.673860,3765,87.692023,2814,65.541926,353,8.221855,951,22.150097,117,2.725091
305758,0.002923,626302,934,619,39.533644,773,49.369154,169,10.793515,113,7.216966,19,1.213472,56,3.576549,8,0.510936
306029,0.275000,259155,4786,1315,202.967336,894,137.986919,244,37.660859,196,30.252166,37,5.710868,48,7.408694,9,1.389130
306091,0.381910,1782405,129805,35001,785.478048,24961,560.164497,7207,161.736530,5905,132.517582,964,21.633692,1302,29.218949,330,7.405724
306126,0.041094,1521414,12672,3441,90.468472,2570,67.568722,730,19.192672,606,15.932547,96,2.523968,124,3.260125,31,0.815031
306139,0.085532,653362,11220,3053,186.910166,2189,134.014528,639,39.120732,494,30.243571,82,5.020188,145,8.877162,38,2.326429
306425,0.243153,986696,47482,12890,522.552032,9357,379.326561,2711,109.902138,2098,85.051525,345,13.986071,613,24.850613,133,5.391732
306432,0.018331,1416543,5393,1472,41.565981,987,27.870668,293,8.273663,232,6.551160,35,0.988322,61,1.722503,15,0.423566
306458,0.232209,689146,32438,8706,505.321079,6600,383.082830,1863,108.133835,1446,83.929965,228,13.233770,417,24.203870,101,5.862328
306459,0.219250,11327,461,153,540.301933,98,346.075748,24,84.753244,20,70.627704,4,14.125541,4,14.125541,0,0.000000
