#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,32,5.144736,254,40.836341,239,38.424746,183,29.421458,15,2.411595,5,0.803865
305746,0.022475,240933,36800,18696,3103.933459,40,6.640850,223,37.022741,209,34.698443,160,26.563401,14,2.324298,2,0.332043
305747,0.023100,63059,8942,4213,2672.417894,5,3.171633,49,31.082003,48,30.447676,39,24.738737,1,0.634327,1,0.634327
305748,0.022500,61438,9403,4701,3060.646505,5,3.255314,50,32.553143,50,32.553143,28,18.229760,0,0.000000,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,7,4.587081,62,40.628430,60,39.317836,33,21.624810,2,1.310595,0,0.000000
305750,0.024111,60062,8500,4187,2788.451933,5,3.329892,53,35.296860,52,34.630881,42,27.971097,1,0.665978,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,5,3.221027,47,30.277653,44,28.345036,38,24.479804,3,1.932616,2,1.288411
305752,0.022200,61887,8752,4382,2832.258794,8,5.170714,61,39.426697,58,37.487679,47,30.377947,3,1.939018,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,5,3.309450,52,34.418281,51,33.756391,46,30.446941,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,3,1.963287,58,37.956873,57,37.302444,45,29.449298,1,0.654429,1,0.654429
305755,0.021700,61475,8635,4263,2773.810492,11,7.157381,60,39.040260,57,37.088247,45,29.280195,3,1.952013,1,0.650671
305756,0.023471,113035,16934,8119,2873.092405,14,4.954218,131,46.357323,123,43.526341,62,21.940107,8,2.830982,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,144,3.353958,1303,30.348660,1248,29.067635,750,17.468530,55,1.281026,10,0.232914
305758,0.002923,626302,11710,5641,360.273478,6,0.383202,67,4.279086,65,4.151352,53,3.384948,2,0.127734,0,0.000000
306126,0.041094,1521414,164274,43491,1143.436303,19,0.499535,238,6.257337,231,6.073298,167,4.390652,7,0.184039,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,12,0.734662,187,11.448477,182,11.142368,133,8.142500,5,0.306109,2,0.122444
306425,0.243153,17322,10360,2736,6317.977139,2,4.618404,11,25.401224,10,23.092022,7,16.164415,1,2.309202,0,0.000000
306432,0.018331,52426,2730,714,544.767863,0,0.000000,2,1.525960,2,1.525960,2,1.525960,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,57,3.308443,582,33.780940,556,32.271826,418,24.261913,26,1.509114,8,0.464343
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,5,17.656926,5,17.656926,4,14.125541,0,0.000000,0,0.000000
