#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,107,17.202711,319,51.286586,313,50.321948,176,28.296047,6,0.964638,1,0.160773
305746,0.022475,240933,36800,18696,3103.933459,104,17.266211,337,55.949164,330,54.787015,165,27.393508,7,1.162149,2,0.332043
305747,0.023100,63059,8942,4213,2672.417894,16,10.149225,73,46.305841,70,44.402861,41,26.007390,3,1.902980,2,1.268653
305748,0.022500,61438,9403,4701,3060.646505,14,9.114880,83,54.038217,82,53.387155,39,25.391452,1,0.651063,0,0.000000
305749,0.022200,61041,9401,4887,3202.437706,21,13.761242,79,51.768483,78,51.113186,32,20.969512,1,0.655297,1,0.655297
305750,0.024111,60062,8500,4187,2788.451933,13,8.657720,88,58.606107,86,57.274150,49,32.632946,2,1.331957,0,0.000000
305751,0.022300,62092,8547,4086,2632.223153,21,13.528313,93,59.911100,92,59.266894,54,34.787090,1,0.644205,0,0.000000
305752,0.022200,61887,8752,4382,2832.258794,20,12.926786,86,55.585179,85,54.938840,46,29.731608,1,0.646339,0,0.000000
305753,0.021500,60433,8232,3961,2621.746397,17,11.252130,67,44.346632,66,43.684742,39,25.813711,1,0.661890,0,0.000000
305754,0.021600,61122,8461,4206,2752.527731,12,7.853146,79,51.699879,76,49.736592,44,28.794869,3,1.963287,0,0.000000
305755,0.021700,61475,8635,4263,2773.810492,33,21.472143,91,59.211061,84,54.656364,46,29.930866,7,4.554697,2,1.301342
305756,0.023471,113035,16934,8119,2873.092405,37,13.093290,165,58.388995,159,56.265758,57,20.170744,6,2.123236,0,0.000000
305757,0.021842,1717374,214242,102433,2385.805305,446,10.387953,1929,44.929060,1878,43.741200,767,17.864484,51,1.187860,6,0.139748
305758,0.002923,626302,11710,5641,360.273478,22,1.405073,77,4.917755,75,4.790021,40,2.554678,2,0.127734,1,0.063867
306126,0.041094,1521414,164274,43491,1143.436303,57,1.498606,510,13.408579,506,13.303414,173,4.548400,4,0.105165,1,0.026291
306139,0.085532,653362,143610,37964,2324.224549,43,2.632538,474,29.019135,470,28.774248,164,10.040376,4,0.244887,1,0.061222
306425,0.243153,17322,10360,2736,6317.977139,7,16.164415,40,92.368087,39,90.058885,7,16.164415,1,2.309202,0,0.000000
306432,0.018331,52426,2730,714,544.767863,2,1.525960,9,6.866822,9,6.866822,3,2.288941,0,0.000000,0,0.000000
306458,0.232209,689146,415471,109854,6376.239578,147,8.532299,1279,74.236809,1266,73.482252,417,24.203870,13,0.754557,4,0.232171
306459,0.219250,11327,6253,1644,5805.597246,0,0.000000,17,60.033548,17,60.033548,6,21.188311,0,0.000000,0,0.000000
