#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,3603,2502,402.254037,107,17.202711,118,18.971214,102,16.398846,26,4.180098,16,2.572368,6,0.964638
305746,0.022475,240933,3455,1948,323.409413,104,17.266211,121,20.088572,105,17.432232,18,2.988383,16,2.656340,3,0.498064
305747,0.023100,63059,870,587,372.349704,16,10.149225,29,18.395471,27,17.126818,3,1.902980,2,1.268653,0,0.000000
305748,0.022500,61438,819,358,233.080504,14,9.114880,28,18.229760,28,18.229760,0,0.000000,0,0.000000,0,0.000000
305749,0.022200,61041,843,377,247.047067,21,13.761242,32,20.969512,30,19.658918,1,0.655297,2,1.310595,0,0.000000
305750,0.024111,60062,820,574,382.271653,13,8.657720,24,15.983484,23,15.317505,6,3.995871,1,0.665978,0,0.000000
305751,0.022300,62092,787,565,363.976036,21,13.528313,22,14.172518,20,12.884107,4,2.576821,2,1.288411,1,0.644205
305752,0.022200,61887,830,601,388.449917,20,12.926786,32,20.682857,29,18.743840,11,7.109732,3,1.939018,0,0.000000
305753,0.021500,60433,795,564,373.305975,17,11.252130,24,15.885361,21,13.899691,2,1.323780,3,1.985670,1,0.661890
305754,0.021600,61122,859,597,390.694022,12,7.853146,26,17.015150,23,15.051863,5,3.272144,3,1.963287,0,0.000000
305755,0.021700,61475,815,569,370.231802,33,21.472143,36,23.424156,31,20.170801,6,3.904026,5,3.253355,1,0.650671
305756,0.023471,113035,1600,626,221.524307,37,13.093290,59,20.878489,55,19.462998,2,0.707745,4,1.415491,0,0.000000
305757,0.021842,1717374,19706,10070,234.544135,446,10.387953,668,15.558638,609,14.184447,63,1.467357,59,1.374191,7,0.163040
305758,0.002923,626302,934,619,39.533644,22,1.405073,26,1.660541,25,1.596674,5,0.319335,1,0.063867,1,0.063867
306029,0.275000,259155,4786,1315,202.967336,12,1.852173,201,31.023905,195,30.097818,11,1.697826,6,0.926087,2,0.308696
306091,0.381910,1782405,129805,35001,785.478048,648,14.542150,5425,121.745619,5326,119.523902,228,5.116682,99,2.221717,29,0.650806
306126,0.041094,1521414,12672,3441,90.468472,61,1.603771,538,14.144736,533,14.013280,21,0.552118,5,0.131457,2,0.052583
306139,0.085532,653362,11220,3053,186.910166,43,2.632538,465,28.468139,456,27.917142,24,1.469323,9,0.550996,4,0.244887
306425,0.243153,986696,47482,12890,522.552032,237,9.607822,1971,79.903030,1926,78.078760,97,3.932316,45,1.824270,6,0.243236
306432,0.018331,1416543,5393,1472,41.565981,24,0.677706,188,5.308699,186,5.252223,9,0.254140,2,0.056476,0,0.000000
306458,0.232209,689146,32438,8706,505.321079,153,8.880557,1310,76.036137,1289,74.817238,55,3.192357,21,1.218900,6,0.348257
306459,0.219250,11327,461,153,540.301933,0,0.000000,16,56.502163,16,56.502163,1,3.531385,0,0.000000,0,0.000000
