#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,3603,2502,402.254037,32,5.144736,65,10.450245,59,9.485607,15,2.411595,6,0.964638,3,0.482319
305746,0.022475,240933,3455,1948,323.409413,40,6.640850,63,10.459339,60,9.961276,12,1.992255,3,0.498064,1,0.166021
305747,0.023100,63059,870,587,372.349704,5,3.171633,16,10.149225,15,9.514899,2,1.268653,1,0.634327,0,0.000000
305748,0.022500,61438,819,358,233.080504,5,3.255314,16,10.417006,16,10.417006,0,0.000000,0,0.000000,0,0.000000
305749,0.022200,61041,843,377,247.047067,7,4.587081,19,12.450648,18,11.795351,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,820,574,382.271653,5,3.329892,16,10.655656,16,10.655656,3,1.997935,0,0.000000,0,0.000000
305751,0.022300,62092,787,565,363.976036,5,3.221027,14,9.018875,12,7.730464,4,2.576821,2,1.288411,1,0.644205
305752,0.022200,61887,830,601,388.449917,8,5.170714,22,14.219465,21,13.573125,7,4.524375,1,0.646339,0,0.000000
305753,0.021500,60433,795,564,373.305975,5,3.309450,15,9.928350,15,9.928350,2,1.323780,0,0.000000,0,0.000000
305754,0.021600,61122,859,597,390.694022,3,1.963287,11,7.198717,10,6.544288,5,3.272144,1,0.654429,0,0.000000
305755,0.021700,61475,815,569,370.231802,11,7.157381,19,12.362749,18,11.712078,4,2.602684,1,0.650671,0,0.000000
305756,0.023471,113035,1600,626,221.524307,14,4.954218,41,14.508780,40,14.154908,2,0.707745,1,0.353873,0,0.000000
305757,0.021842,1717374,19706,10070,234.544135,144,3.353958,407,9.479589,388,9.037053,41,0.954946,19,0.442536,2,0.046583
305758,0.002923,626302,934,619,39.533644,6,0.383202,14,0.894137,14,0.894137,3,0.191601,0,0.000000,0,0.000000
306029,0.275000,259155,4786,1315,202.967336,4,0.617391,123,18.984777,121,18.676082,8,1.234782,2,0.308696,1,0.154348
306091,0.381910,1782405,129805,35001,785.478048,235,5.273773,3302,74.102126,3261,73.182021,139,3.119381,41,0.920105,9,0.201974
306126,0.041094,1521414,12672,3441,90.468472,20,0.525827,332,8.728722,330,8.676139,16,0.420661,2,0.052583,0,0.000000
306139,0.085532,653362,11220,3053,186.910166,12,0.734662,283,17.325770,281,17.203327,18,1.101992,2,0.122444,0,0.000000
306425,0.243153,986696,47482,12890,522.552032,80,3.243147,1177,47.714798,1162,47.106708,58,2.351281,15,0.608090,4,0.162157
306432,0.018331,1416543,5393,1472,41.565981,6,0.169427,110,3.106154,109,3.077916,3,0.084713,1,0.028238,0,0.000000
306458,0.232209,689146,32438,8706,505.321079,58,3.366485,794,46.086025,784,45.505597,36,2.089543,10,0.580429,2,0.116086
306459,0.219250,11327,461,153,540.301933,0,0.000000,11,38.845237,11,38.845237,0,0.000000,0,0.000000,0,0.000000
