#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,3603,2502,402.254037,32,5.144736,77,12.379521,77,12.379521,12,1.929276,0,0.000000,0,0.000000
305746,0.022475,240933,3455,1948,323.409413,40,6.640850,82,13.613743,80,13.281701,15,2.490319,2,0.332043,1,0.166021
305747,0.023100,63059,870,587,372.349704,5,3.171633,14,8.880572,14,8.880572,3,1.902980,0,0.000000,0,0.000000
305748,0.022500,61438,819,358,233.080504,5,3.255314,17,11.068069,17,11.068069,1,0.651063,0,0.000000,0,0.000000
305749,0.022200,61041,843,377,247.047067,7,4.587081,21,13.761242,20,13.105945,0,0.000000,1,0.655297,0,0.000000
305750,0.024111,60062,820,574,382.271653,5,3.329892,26,17.315441,26,17.315441,2,1.331957,0,0.000000,0,0.000000
305751,0.022300,62092,787,565,363.976036,5,3.221027,25,16.105134,25,16.105134,5,3.221027,0,0.000000,0,0.000000
305752,0.022200,61887,830,601,388.449917,8,5.170714,20,12.926786,20,12.926786,6,3.878036,0,0.000000,0,0.000000
305753,0.021500,60433,795,564,373.305975,5,3.309450,8,5.295120,7,4.633230,1,0.661890,1,0.661890,0,0.000000
305754,0.021600,61122,859,597,390.694022,3,1.963287,21,13.743006,21,13.743006,2,1.308858,0,0.000000,0,0.000000
305755,0.021700,61475,815,569,370.231802,11,7.157381,18,11.712078,18,11.712078,3,1.952013,0,0.000000,0,0.000000
305756,0.023471,113035,1600,626,221.524307,14,4.954218,41,14.508780,39,13.801035,1,0.353873,2,0.707745,0,0.000000
305757,0.021842,1717374,19706,10070,234.544135,144,3.353958,446,10.387953,441,10.271496,33,0.768615,5,0.116457,2,0.046583
305758,0.002923,626302,934,619,39.533644,6,0.383202,27,1.724408,22,1.405073,1,0.063867,5,0.319335,1,0.063867
306029,0.275000,259155,4786,1315,202.967336,4,0.617391,146,22.534776,146,22.534776,3,0.463043,0,0.000000,0,0.000000
306091,0.381910,1782405,129805,35001,785.478048,235,5.273773,3595,80.677512,3583,80.408212,102,2.289042,12,0.269299,2,0.044883
306126,0.041094,1521414,12672,3441,90.468472,20,0.525827,359,9.438588,357,9.386005,15,0.394370,2,0.052583,1,0.026291
306139,0.085532,653362,11220,3053,186.910166,12,0.734662,332,20.325639,329,20.141973,13,0.795883,3,0.183665,1,0.061222
306425,0.243153,986696,47482,12890,522.552032,80,3.243147,1334,54.079473,1326,53.755159,43,1.743191,8,0.324315,3,0.121618
306432,0.018331,1416543,5393,1472,41.565981,6,0.169427,149,4.207426,149,4.207426,2,0.056476,0,0.000000,0,0.000000
306458,0.232209,689146,32438,8706,505.321079,58,3.366485,887,51.484011,884,51.309882,21,1.218900,3,0.174129,0,0.000000
306459,0.219250,11327,461,153,540.301933,0,0.000000,6,21.188311,6,21.188311,0,0.000000,0,0.000000,0,0.000000
