#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,1576,253.378243,2075,333.603968,1187,190.837547,98,15.755754,888,142.766421,123,19.775079
305746,0.022475,240933,36800,18696,3103.933459,1550,257.332951,2060,342.003794,1158,192.252618,63,10.459339,902,149.751176,50,8.301063
305747,0.023100,63059,8942,4213,2672.417894,362,229.626223,496,314.625985,262,166.193565,15,9.514899,234,148.432420,24,15.223838
305748,0.022500,61438,9403,4701,3060.646505,367,238.940070,460,299.488916,245,159.510401,5,3.255314,215,139.978515,2,1.302126
305749,0.022200,61041,9401,4887,3202.437706,341,223.456365,510,334.201602,319,209.039826,6,3.931784,191,125.161777,4,2.621189
305750,0.024111,60062,8500,4187,2788.451933,363,241.750191,484,322.333589,268,178.482235,26,17.315441,216,143.851354,21,13.985548
305751,0.022300,62092,8547,4086,2632.223153,388,249.951685,503,324.035302,269,173.291245,22,14.172518,234,150.744057,33,21.258777
305752,0.022200,61887,8752,4382,2832.258794,378,244.316254,515,332.864737,299,193.255449,38,24.560893,216,139.609288,24,15.512143
305753,0.021500,60433,8232,3961,2621.746397,360,238.280410,478,316.383433,278,184.005427,16,10.590240,200,132.378005,26,17.209141
305754,0.021600,61122,8461,4206,2752.527731,339,221.851379,462,302.346127,272,178.004646,18,11.779719,190,124.341481,13,8.507575
305755,0.021700,61475,8635,4263,2773.810492,374,243.350956,475,309.068727,263,171.126474,23,14.965433,212,137.942253,22,14.314762
305756,0.023471,113035,16934,8119,2873.092405,694,245.587650,913,323.085770,520,184.013801,5,1.769363,393,139.071969,1,0.353873
305757,0.021842,1717374,214242,102433,2385.805305,8444,196.672361,11532,268.596124,6473,150.765063,262,6.102340,5059,117.831061,247,5.752969
305758,0.002923,626302,11710,5641,360.273478,392,25.035845,538,34.360420,307,19.607154,17,1.085738,231,14.753266,16,1.021871
306029,0.275000,259155,59937,15862,2448.264552,408,62.973896,701,108.197797,438,67.604329,40,6.173911,263,40.593467,39,6.019564
306091,0.381910,1782405,1631630,432138,9697.863280,12118,271.947173,17774,398.876798,10541,236.556787,758,17.010724,7233,162.320011,778,17.459556
306126,0.041094,1521414,164274,43491,1143.436303,1212,31.865094,1745,45.878374,1031,27.106363,73,1.919267,714,18.772011,89,2.339929
306139,0.085532,653362,143610,37964,2324.224549,1036,63.425788,1536,94.036690,923,56.507725,67,4.101861,613,37.528966,69,4.224304
306425,0.243153,986696,603070,159823,6479.118188,4438,179.913570,6444,261.235477,3798,153.968396,282,11.432093,2646,107.267081,276,11.188857
306432,0.018331,1416543,71555,19036,537.533982,458,12.932894,663,18.721634,386,10.899775,27,0.762419,277,7.821859,39,1.101273
306458,0.232209,689146,415471,109854,6376.239578,3093,179.526544,4524,262.585867,2647,153.639432,189,10.970099,1877,108.946435,202,11.724656
306459,0.219250,11327,6253,1644,5805.597246,49,173.037874,71,250.728348,47,165.975104,2,7.062770,24,84.753244,0,0.000000
