#runNumber,lumi per LS (/fb),nEvent,HO,HO_SOI,rate_HO_SOI [kHz],BMTF, rate_BMTF [kHz],MB1,rate_MB1 [kHz],isolatedMB1,rate_isolatedMB1 [kHz],isolatedMB1_withHO_SOI,rate_isolatedMB1_withHO_SOI [kHz],unisolatedMB1,rate_unisolatedMB1 [kHz],unisolatedMB1_withHO_SOI,rate_unisolatedMB1_withHO_SOI [kHz]
305745,0.022233,248798,36966,17221,2768.671774,3090,496.788559,2572,413.508147,1957,314.632754,121,19.453533,615,98.875393,52,8.360196
305746,0.022475,240933,36800,18696,3103.933459,3040,504.704627,2537,421.195934,1901,315.606413,64,10.625361,636,105.589521,30,4.980638
305747,0.023100,63059,8942,4213,2672.417894,737,467.498692,570,361.566152,438,277.835043,39,24.738737,132,83.731109,8,5.074613
305748,0.022500,61438,9403,4701,3060.646505,745,485.041831,597,388.684527,446,290.374036,4,2.604251,151,98.310492,3,1.953189
305749,0.022200,61041,9401,4887,3202.437706,722,473.124621,608,398.420734,454,297.504956,8,5.242378,154,100.915778,2,1.310595
305750,0.024111,60062,8500,4187,2788.451933,740,492.824082,619,412.240685,458,305.018148,26,17.315441,161,107.222537,15,9.989677
305751,0.022300,62092,8547,4086,2632.223153,752,484.442440,633,407.782001,475,305.997552,26,16.749340,158,101.784449,18,11.595697
305752,0.022200,61887,8752,4382,2832.258794,747,482.815454,669,432.400989,492,317.998934,29,18.743840,177,114.402055,10,6.463393
305753,0.021500,60433,8232,3961,2621.746397,715,473.251369,556,368.010855,400,264.756011,20,13.237801,156,103.254844,13,8.604570
305754,0.021600,61122,8461,4206,2752.527731,686,448.938189,584,382.186447,451,295.147410,26,17.015150,133,87.039037,6,3.926573
305755,0.021700,61475,8635,4263,2773.810492,706,459.373729,562,365.677105,420,273.281822,20,13.013420,142,92.395283,12,7.808052
305756,0.023471,113035,16934,8119,2873.092405,1317,466.050338,1087,384.659619,820,290.175609,7,2.477109,267,94.484009,6,2.123236
305757,0.021842,1717374,214242,102433,2385.805305,16986,395.627277,14113,328.711160,10668,248.472377,346,8.058815,3445,80.238783,117,2.725091
305758,0.002923,626302,11710,5641,360.273478,773,49.369154,606,38.703373,444,28.356927,19,1.213472,162,10.346446,8,0.510936
306029,0.275000,259155,59937,15862,2448.264552,865,133.510833,1300,200.652119,1119,172.715170,35,5.402172,181,27.936949,9,1.389130
306091,0.381910,1782405,1631630,432138,9697.863280,24209,543.288422,34761,780.092067,30011,673.494520,919,20.623820,4750,106.597547,329,7.383283
306126,0.041094,1521414,164274,43491,1143.436303,2488,65.412833,3419,89.890063,2879,75.692744,94,2.471385,540,14.197319,31,0.815031
306139,0.085532,653362,143610,37964,2324.224549,2124,130.035111,3027,185.318399,2547,155.931934,77,4.714079,480,29.386466,37,2.265207
306425,0.243153,986696,603070,159823,6479.118188,9088,368.421479,12786,518.335941,10779,436.973495,327,13.256363,2007,81.362446,133,5.391732
306432,0.018331,1416543,71555,19036,537.533982,964,27.221200,1386,39.137534,1170,33.038178,30,0.847133,216,6.099356,15,0.423566
306458,0.232209,689146,415471,109854,6376.239578,6403,371.648388,8769,508.977778,7333,425.628241,224,13.001599,1436,83.349537,101,5.862328
306459,0.219250,11327,6253,1644,5805.597246,92,324.887437,112,395.515141,97,342.544363,4,14.125541,15,52.970778,0,0.000000
