#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb),recorded(/pb)/nls
305745:6336,10/26/17 20:24:14,43,43,1.123,0.956,0.0222325581
305746:6336,10/26/17 21:02:36,40,40,1.015,0.899,0.022475
305747:6336,10/26/17 21:29:18,10,10,0.251,0.231,0.0231
305748:6336,10/26/17 21:36:05,10,10,0.249,0.225,0.0225
305749:6336,10/26/17 21:42:51,10,10,0.248,0.222,0.0222
305750:6336,10/26/17 21:49:46,9,9,0.222,0.217,0.0241111111
305751:6336,10/26/17 21:56:36,10,10,0.246,0.223,0.0223
305752:6336,10/26/17 22:03:16,10,10,0.245,0.222,0.0222
305753:6336,10/26/17 22:10:18,10,10,0.243,0.215,0.0215
305754:6336,10/26/17 22:16:57,10,10,0.242,0.216,0.0216
305755:6336,10/26/17 22:23:34,10,10,0.242,0.217,0.0217
305756:6336,10/26/17 22:30:28,17,17,0.408,0.399,0.0234705882
305757:6336,10/26/17 22:40:07,221,221,4.969,4.827,0.021841629
305758:6336,10/27/17 00:19:23,13,13,0.039,0.038,0.0029230769
306029:6355,11/01/17 18:27:55,1,1,0.352,0.275,0.275
306091:6358,11/02/17 16:16:41,379,379,151.575,144.744,0.3819102902
306126:6360,11/04/17 10:28:47,181,181,7.538,7.438,0.0410939227
306139:6362,11/05/17 10:25:22,79,79,6.944,6.757,0.0855316456
306425:6370,11/09/17 07:27:46,177,177,43.481,43.038,0.2431525424
306432:6370,11/09/17 09:51:20,163,163,3.013,2.988,0.0183312883
306458:6371,11/09/17 20:19:56,253,253,61.174,58.749,0.2322094862
306459:6371,11/09/17 22:00:11,4,4,0.901,0.877,0.21925
