#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb),recorded(/fb)/nls
297047:5839,06/16/17 20:21:12,15,15,0.002,0.002,0.0001333333
297048:5839,06/16/17 20:31:19,15,15,0.002,0.002,0.0001333333
297049:5839,06/16/17 20:41:23,15,15,0.002,0.002,0.0001333333
297050:5839,06/16/17 20:51:29,11,11,0.002,0.002,0.0001818182
297281:5856,06/22/17 00:39:18,17,17,0.005,0.005,0.0002941176
297282:5856,06/22/17 00:50:17,16,16,0.005,0.004,0.00025
297283:5856,06/22/17 01:00:52,15,15,0.005,0.004,0.0002666667
297284:5856,06/22/17 01:11:05,16,16,0.005,0.004,0.00025
297285:5856,06/22/17 01:21:30,20,20,0.004,0.004,0.0002
297286:5856,06/22/17 01:42:10,9,9,0.003,0.002,0.0002222222
297287:5856,06/22/17 01:49:45,16,16,0.005,0.004,0.00025
297288:5856,06/22/17 02:00:08,15,15,0.004,0.004,0.0002666667
297289:5856,06/22/17 02:11:32,15,15,0.004,0.004,0.0002666667
297290:5856,06/22/17 02:21:32,15,15,0.004,0.004,0.0002666667
297291:5856,06/22/17 02:31:39,17,17,0.005,0.004,0.0002352941
297494:5873,06/26/17 00:16:40,21,21,0.006,0.006,0.0002857143
297495:5873,06/26/17 00:30:59,16,16,0.005,0.005,0.0003125
297496:5873,06/26/17 00:41:30,23,23,0.007,0.007,0.0003043478
297497:5873,06/26/17 00:54:54,16,16,0.005,0.005,0.0003125
297498:5873,06/26/17 01:05:27,15,15,0.005,0.004,0.0002666667
297499:5873,06/26/17 01:16:02,16,16,0.005,0.005,0.0003125
297500:5873,06/26/17 01:27:55,1,1,0,0,0
297501:5873,06/26/17 01:37:16,17,17,0.005,0.005,0.0002941176
297502:5873,06/26/17 01:48:00,16,16,0.005,0.005,0.0003125
297503:5873,06/26/17 02:00:54,4,4,0.001,0.001,0.00025
297557:5876,06/26/17 23:28:45,38,38,0.013,0.012,0.0003157895
297562:5876,06/27/17 06:25:38,50,50,0.011,0.01,0.0002
297605:5878,06/28/17 00:49:22,33,33,0.006,0.006,0.0001818182
297620:5880,06/28/17 10:11:19,283,283,0.086,0.082,0.0002897527
297656:5882,06/28/17 17:29:24,392,392,0.124,0.116,0.0002959184
297657:5882,06/28/17 20:47:46,20,20,0.006,0,0
297658:5882,06/28/17 21:02:07,19,19,0.005,0,0
297660:5882,06/28/17 21:38:11,213,213,0.046,0.045,0.0002112676
297661:5882,06/28/17 23:14:15,117,117,0.022,0.022,0.0001880342
297662:5882,06/29/17 00:06:24,16,16,0.004,0.004,0.00025
297663:5882,06/29/17 00:17:03,16,16,0.004,0.004,0.00025
297664:5882,06/29/17 00:28:08,19,19,0.004,0.004,0.0002105263
297670:5883,06/29/17 06:20:21,16,16,0.005,0.005,0.0003125
297672:5883,06/29/17 06:55:10,14,14,0.004,0.004,0.0002857143
297673:5883,06/29/17 07:04:45,15,15,0.005,0.004,0.0002666667
297674:5883,06/29/17 07:15:13,2,2,0.001,0.001,0.0005
297723:5887,06/29/17 23:07:27,37,37,0.011,0.011,0.0002972973
298653:5919,07/09/17 18:55:02,23,23,0,0,0
298853:5934,07/12/17 05:49:00,8,8,0,0,0
298854:5934,07/12/17 06:49:07,65,65,0,0,0
298855:5934,07/12/17 07:18:01,97,97,0,0,0
